Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,539","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,232"
10-Nov-10,"3,249","3,145","3,171","1,621","1,582",79,78,76,91,79,75,97,81,97,88,91,79,216,100,78,80,97,"3,005",234,225,239,226,224,219,220,280,225,224,224,222,243,"5,253",900,"1,359",935,"1,200",859,10,5,3,2,5,7,"21,048"
11-Nov-10,"3,242","3,142","3,169","1,624","1,581",79,78,76,91,79,75,97,81,97,88,91,79,215,100,78,80,97,"3,002",234,225,239,226,224,219,219,279,225,224,223,222,243,"5,250",900,"1,358",934,"1,199",859,10,5,3,2,5,11,"21,036"
12-Nov-10,"3,249","3,121","3,163","1,631","1,551",79,78,76,85,75,72,94,81,100,86,90,78,215,96,77,77,92,"3,006",233,225,240,221,224,219,223,283,225,224,223,224,242,"5,255",900,"1,358",934,"1,204",859,9,4,3,2,5,43,"21,033"
13-Nov-10,"3,248","3,122","3,161","1,631","1,547",79,78,76,85,75,72,94,81,100,84,90,78,213,96,77,77,92,"3,005",233,225,240,221,223,219,223,283,225,224,223,224,242,"5,254",900,"1,358",934,"1,203",859,9,4,3,2,5,44,"21,026"
14-Nov-10,"3,247","3,121","3,162","1,631","1,548",79,78,76,85,75,72,94,81,100,84,90,78,214,96,77,77,92,"3,004",233,225,240,221,223,219,223,283,225,223,223,224,242,"5,254",900,"1,358",934,"1,203",859,9,4,3,2,5,0,"20,981"
15-Nov-10,"3,245","3,127","3,157","1,618","1,541",78,82,75,87,71,75,94,77,101,84,87,78,209,96,78,78,91,"3,004",233,222,240,220,224,219,224,284,225,223,224,224,242,"5,256",903,"1,357",934,"1,199",863,9,5,2,2,5,7,"20,969"
16-Nov-10,"3,247","3,134","3,168","1,604","1,543",78,81,74,87,71,75,93,77,100,85,87,78,210,96,77,83,91,"3,006",232,222,240,224,224,220,224,284,225,224,222,224,241,"5,254",902,"1,356",934,"1,199",863,9,5,2,2,5,6,"20,976"
17-Nov-10,"3,243","3,139","3,171","1,598","1,556",78,81,74,88,76,75,90,77,99,85,91,81,209,95,77,83,97,"3,010",235,224,240,224,224,220,224,283,225,224,222,224,241,"5,259",901,"1,364",935,"1,197",862,9,5,2,2,5,6,"20,996"
18-Nov-10,"3,246","3,153","3,162","1,595","1,554",77,81,74,88,75,75,94,77,97,85,91,79,208,95,76,83,99,"3,013",238,223,239,224,224,220,224,284,225,224,224,224,240,"5,262",903,"1,363",934,"1,200",862,9,5,2,2,5,6,"21,005"
