date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,"Washington County (Open Sept 21, 2011)",Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
10-Sep-11,"3,047","3,157","3,180","1,846","1,492",79,81,80,85,89,82,76,83,84,79,61,77,192,92,83,86,83,"3,276",247,235,224,249,224,224,219,225,284,223,223,224,,223,252,"5,177",899,"1,364",996,"1,013",905,7,3,4,0,5,45,"21,232"
11-Sep-11,"3,048","3,154","3,180","1,846","1,490",79,81,80,85,88,82,75,83,84,79,61,76,193,92,83,86,83,"3,275",247,235,224,248,224,224,219,225,284,223,223,224,,223,252,"5,175",899,"1,363",996,"1,013",904,7,3,4,0,5,47,"21,227"
12-Sep-11,"3,055","3,183","3,185","1,845","1,521",84,85,82,87,93,82,74,91,88,78,61,77,198,87,84,86,84,"3,271",246,234,224,248,223,224,219,224,284,224,224,223,,223,251,"5,165",899,"1,359",996,"1,007",904,11,4,4,3,5,47,"21,288"
13-Sep-11,"3,051","3,195","3,194","1,856","1,516",85,85,82,87,92,82,74,88,88,78,59,81,195,87,83,86,84,"3,279",249,235,224,249,224,224,219,224,284,224,225,223,,224,251,"5,173",899,"1,359",999,"1,012",904,11,4,4,3,5,7,"21,287"
14-Sep-11,"3,050","3,185","3,195","1,878","1,526",85,84,82,87,91,85,74,88,91,79,59,81,198,90,83,86,83,"3,278",249,235,224,249,224,224,219,224,284,223,225,224,,224,250,"5,180",900,"1,358",999,"1,020",903,11,4,4,3,5,7,"21,315"
15-Sep-11,"3,044","3,191","3,184","1,895","1,534",83,84,85,87,92,92,74,88,88,79,58,82,198,92,83,86,83,"3,278",248,235,224,249,223,224,219,224,284,224,224,224,,224,252,"5,176",899,"1,357",998,"1,021",901,11,4,4,3,5,7,"21,325"
16-Sep-11,"3,040","3,185","3,188","1,916","1,525",81,85,84,83,91,90,75,90,90,76,57,81,193,88,91,87,83,"3,273",247,235,223,247,224,224,219,224,284,224,224,223,,223,252,"5,172",897,"1,356",997,"1,023",899,12,4,4,4,5,43,"21,359"
17-Sep-11,"3,039","3,184","3,185","1,916","1,523",81,85,83,83,91,90,75,90,90,76,57,81,193,88,91,87,82,"3,272",247,235,223,247,224,224,219,224,284,224,224,223,,223,251,"5,169",896,"1,355",997,"1,023",898,12,4,4,4,5,43,"21,348"
18-Sep-11,"3,039","3,182","3,189","1,916","1,518",81,85,79,83,91,90,75,90,90,76,57,81,192,88,91,87,82,"3,271",247,235,223,247,224,224,219,224,284,224,223,223,,223,251,"8,166",895,"4,354",997,"1,022",898,12,4,4,4,5,44,"24,342"
