date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,704"
19-Jan-15,"3,097",76,"2,194",33,92,"2,557",86,"1,334","1,082",65,57,50,50,47,49,54,51,49,69,81,46,174,97,52,41,50,"4,127",297,357,263,298,254,257,243,247,322,246,267,273,273,271,259,"4,227",0,"1,175",998,"1,184",870,11,4,4,3,"18,916"
20-Jan-15,"3,089",76,"2,202",33,90,"2,554",80,"1,351","1,074",65,57,50,50,47,49,53,51,49,69,80,45,172,94,52,41,50,"4,120",296,357,263,296,254,256,243,246,320,245,275,272,269,269,259,"4,222",0,"1,174",997,"1,182",869,11,4,4,3,"18,902"
21-Jan-15,"3,080",75,"2,208",32,88,"2,555",84,"1,362","1,070",65,56,49,50,47,49,53,51,49,69,79,45,171,94,52,41,50,"4,120",299,358,263,300,254,256,242,245,320,244,274,271,268,268,258,"4,221",0,"1,173",997,"1,182",869,11,4,4,3,"18,906"
22-Jan-15,"3,071",65,"2,178",32,111,"2,547",84,"1,393","1,065",65,55,47,50,46,49,53,51,47,69,78,56,171,93,50,39,46,"4,100",298,357,263,299,252,251,241,245,319,243,272,271,265,268,256,"4,213",0,"1,169",997,"1,179",868,11,4,4,3,"18,870"
23-Jan-15,"3,075",64,"2,169",112,32,"2,541",84,"1,414","1,050",60,56,47,50,47,45,51,49,47,68,86,53,167,93,49,36,46,"4,142",298,358,262,300,252,250,241,249,320,256,271,271,262,271,281,"4,176",0,"1,169",999,"1,175",833,9,4,3,2,"18,868"
24-Jan-15,"3,073",63,"2,170",32,112,"2,537",84,"1,412","1,049",60,56,47,50,47,45,51,49,47,68,86,52,167,93,49,36,46,"4,134",297,357,262,300,252,247,240,249,320,256,271,271,261,271,280,"4,175",0,"1,169",998,"1,175",833,9,4,3,2,"18,850"
25-Jan-15,"3,072",61,"2,169",32,112,"2,537",84,"1,414","1,048",60,56,47,50,47,45,51,48,47,68,86,52,167,93,49,36,46,"4,132",297,357,262,300,252,247,240,249,318,256,271,271,261,271,280,"4,175",0,"1,169",998,"1,175",833,9,4,3,2,"18,845"
26-Jan-15,"3,076",59,"2,179",31,123,"2,441",83,"1,479","1,085",60,56,45,50,47,47,53,49,51,69,88,56,179,97,48,44,46,"4,125",297,356,262,298,252,245,239,249,319,247,270,271,267,270,283,"4,174",0,"1,166",998,"1,157",853,9,4,3,2,"18,864"
27-Jan-15,"3,074",78,"2,157",31,117,"2,410",94,"1,492","1,084",60,56,45,51,48,47,53,49,51,67,89,61,177,95,46,43,46,"4,144",296,361,260,299,253,253,247,248,324,246,270,265,266,272,284,"4,171",0,"1,168",997,"1,155",851,9,4,3,2,"18,861"
