Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
11-Sep-02,"5,241","2,817","2,020","2,030","1,296",74,72,74,73,72,74,72,73,75,70,75,73,134,68,70,75,72,"2,013",0,201,201,203,202,201,201,202,201,200,201,"3,831",556,725,980,595,975,13,4,8,1,5,"19,266"
12-Sep-02,"5,201","2,829","2,027","2,009","1,299",73,72,74,72,72,74,73,71,75,70,75,74,133,72,70,75,74,"2,015",0,200,202,202,202,201,202,201,201,202,202,"3,872",556,726,979,636,975,13,4,8,1,5,"19,270"
13-Sep-02,"5,235","2,848","2,022","1,988","1,258",68,71,67,71,71,72,71,71,73,65,74,75,132,65,67,74,71,"2,013",0,199,202,201,201,201,202,201,202,202,202,"3,855",517,726,979,658,975,13,4,8,1,4,"19,236"
14-Sep-02,"5,235","2,848","2,022","1,988","1,258",68,71,67,71,71,72,71,71,73,65,74,75,132,65,67,74,71,"2,012",0,199,201,201,201,201,202,201,202,202,202,"3,853",517,726,978,657,975,13,4,8,1,4,"19,233"
15-Sep-02,"5,246","2,847","2,021","1,988","1,256",68,71,67,70,71,72,71,71,73,65,74,74,132,65,67,74,71,"2,012",0,199,201,201,201,201,202,201,202,202,202,"3,842",517,715,978,657,975,13,4,8,1,4,"19,229"
16-Sep-02,"5,230","2,842","2,041","1,973","1,294",73,72,75,67,72,74,75,71,75,68,74,73,137,71,70,75,72,"2,016",0,202,201,202,201,201,202,202,202,201,202,"3,856",509,714,984,669,980,13,4,8,1,5,"19,270"
17-Sep-02,"5,284","2,875","2,026","1,953","1,304",73,73,75,73,74,74,75,74,75,68,73,72,137,70,71,75,72,"2,012",0,202,201,202,200,200,202,201,202,201,201,"3,809",461,714,984,669,981,13,4,8,1,5,"19,281"
18-Sep-02,"5,277","2,872","2,076","1,929","1,301",73,73,75,72,74,74,75,74,75,67,73,71,137,70,71,75,72,"2,011",0,202,201,202,200,200,201,201,201,202,201,"3,801",412,715,992,690,992,13,4,8,1,5,"19,285"
19-Sep-02,"5,277","2,895","2,071","1,898","1,308",73,71,74,72,74,74,75,74,75,73,73,71,141,70,71,75,72,"2,013",0,203,201,202,201,202,201,200,201,201,201,"3,800",412,715,992,689,992,13,4,8,1,5,"19,280"
20-Sep-02,"5,291","2,904","2,066","1,880","1,258",66,69,73,70,68,68,72,69,74,69,72,67,140,68,68,73,72,"2,017",0,203,202,202,202,202,201,200,202,202,201,"3,808",411,715,991,699,992,13,4,8,1,5,"19,242"
