Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC,Lefore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
19-May-16,"3,382","2,930",32,5,"3,004","1,472","1,168",0,23,78,87,77,0,0,70,19,93,92,86,85,170,30,15,76,101,66,0,"3,410",240,291,240,240,199,200,240,238,259,197,203,199,225,199,240,"3,920",0,"1,094",998,930,898,13,6,4,3,"19,336"
20-May-16,"3,383","2,943",31,4,"2,995","1,463","1,151",0,21,74,84,74,0,0,75,18,91,86,85,81,166,34,15,81,101,65,0,"3,413",240,290,240,240,200,198,240,239,260,199,203,200,225,200,239,"3,910",0,"1,094",996,926,894,13,6,4,3,"19,306"
21-May-16,"3,382","2,943",31,4,"2,996","1,463","1,151",0,21,74,84,74,0,0,75,18,91,86,85,81,166,34,15,81,101,65,0,"3,413",240,290,240,240,200,198,240,239,260,199,203,200,225,200,239,"3,909",0,"1,093",996,926,894,13,6,4,3,"19,305"
22-May-16,"3,383","2,944",31,4,"2,994","1,463","1,146",0,21,74,83,74,0,0,74,18,91,86,85,80,166,34,15,79,101,65,0,"3,411",240,290,240,240,200,198,239,238,260,199,203,200,225,200,239,"3,907",0,"1,092",996,925,894,13,6,4,3,"19,296"
23-May-16,"3,377","2,963",31,4,"2,992","1,447","1,166",0,22,78,86,77,0,0,75,19,91,90,85,84,169,34,14,77,101,64,0,"3,413",239,292,240,240,200,200,240,239,259,199,203,200,224,199,239,"3,902",0,"1,090",995,923,894,13,6,4,3,"19,308"
24-May-16,"3,396","2,947",31,4,"3,003","1,430","1,161",0,22,78,86,75,0,0,72,19,91,90,85,84,173,34,14,75,99,64,0,"3,413",239,292,239,240,200,200,240,240,259,199,203,200,224,200,238,"3,924",0,"1,090",994,939,901,13,6,4,3,"19,322"
25-May-16,"3,398","2,963",30,5,"3,003","1,427","1,160",0,22,77,84,76,0,0,72,19,91,90,85,86,173,34,14,74,99,64,0,"3,410",240,293,238,238,199,200,240,240,259,200,203,199,224,199,238,"3,927",0,"1,089",999,939,900,14,6,5,3,"19,337"
26-May-16,"3,393","2,986",31,5,"3,002","1,428","1,167",0,22,78,84,76,0,0,71,19,91,92,90,85,173,33,14,73,99,67,0,"3,408",240,292,239,240,200,199,240,240,259,197,203,199,227,198,235,"3,925",0,"1,088",999,938,900,14,6,5,3,"19,359"
27-May-16,"3,415","2,948",32,8,"3,005","1,446","1,187",0,22,75,89,78,0,0,82,19,93,92,90,85,172,34,14,76,99,67,0,"3,407",240,291,239,240,199,199,240,240,259,197,202,198,227,198,238,"3,925",0,"1,096",999,928,902,14,6,5,3,"19,387"
