date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,790","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,024"
19-Nov-08,"3,834","3,767","3,108","1,835","1,804",90,100,94,101,98,99,102,101,100,92,89,93,246,99,99,101,100,"3,082",292,281,279,280,272,279,280,280,280,279,280,"5,522",969,"1,335",999,"1,233",986,14,5,5,4,6,8,"22,980"
20-Nov-08,"3,862","3,753","3,106","1,841","1,803",89,99,94,102,98,100,100,101,100,92,89,93,245,101,99,99,102,"3,081",292,280,278,280,273,280,280,280,280,278,280,"5,529",968,"1,331",999,"1,238",993,14,5,5,4,6,10,"23,005"
21-Nov-08,"3,870","3,745","3,114","1,849","1,813",91,102,94,102,98,100,100,101,101,92,87,93,249,101,102,98,102,"3,080",290,280,279,280,273,280,280,280,280,278,280,"5,536",971,"1,326","1,000","1,244",995,13,4,5,4,6,7,"23,033"
22-Nov-08,"3,860","3,745","3,112","1,849","1,808",91,102,94,101,98,100,99,101,101,91,87,91,249,101,102,98,102,"3,078",290,280,279,279,273,280,280,279,280,278,280,"5,533",970,"1,326","1,000","1,243",994,13,4,5,4,6,9,"23,013"
23-Nov-08,"3,859","3,747","3,111","1,849","1,808",91,102,94,101,98,100,99,101,101,91,86,92,249,101,102,98,102,"3,075",290,280,278,279,273,280,280,279,278,278,280,"5,529",969,"1,325","1,000","1,242",993,13,4,5,4,6,8,"23,005"
24-Nov-08,"3,882","3,729","3,109","1,820","1,808",91,102,93,101,102,102,101,101,96,90,86,91,249,100,102,99,102,"3,086",294,280,280,279,274,280,280,280,279,280,280,"5,532",973,"1,324","1,000","1,243",992,13,4,5,4,6,9,"22,994"
25-Nov-08,"3,889","3,750","3,108","1,815","1,807",92,101,93,102,102,101,101,101,96,90,86,91,248,101,102,99,101,"3,085",294,280,280,279,273,279,280,280,280,280,280,"5,534",973,"1,326","1,000","1,241",994,13,4,5,4,6,9,"23,016"
26-Nov-08,"3,868","3,722","3,109","1,814","1,822",91,101,95,102,102,101,101,101,102,91,92,89,248,101,102,102,101,"3,083",294,280,279,279,271,280,280,280,280,280,280,"5,571",972,"1,370","1,000","1,236",993,12,4,4,4,6,14,"23,021"
27-Nov-08,"3,864","3,719","3,106","1,813","1,822",91,101,95,102,102,101,101,101,102,91,92,89,248,101,102,102,101,"3,082",294,280,279,279,271,279,280,280,280,280,280,"5,570",972,"1,370","1,000","1,236",992,12,4,4,4,6,15,"23,009"
