date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,937"
10-Feb-14,"3,315","3,035",37,"3,203","1,985","1,236",87,63,58,54,64,60,50,55,53,76,86,89,204,84,58,43,52,"4,417",298,367,278,298,275,280,274,279,354,280,278,280,294,280,302,"4,371",0,"1,197","1,000","1,287",887,10,4,3,3,0,0,"21,609"
11-Feb-14,"3,315","3,063",37,"3,201","1,955","1,228",86,63,57,52,62,59,50,55,53,76,86,89,204,87,58,42,49,"4,424",298,369,278,298,279,280,274,280,353,281,280,280,291,282,301,"4,369",0,"1,199",999,"1,284",887,10,4,3,3,0,0,"21,602"
12-Feb-14,"3,316","3,063",37,"3,210","1,963","1,224",86,63,56,51,62,59,51,55,52,76,86,89,204,85,58,42,49,"4,423",298,369,280,298,278,280,274,279,354,281,280,280,291,282,299,"4,376",0,"1,199",998,"1,287",892,11,4,4,3,0,0,"21,623"
13-Feb-14,"3,327","3,056",37,"3,204","1,949","1,206",85,63,53,51,61,59,50,51,51,75,85,88,202,85,56,45,46,"4,417",297,368,280,298,277,280,274,277,353,281,280,280,291,279,302,"4,376",0,"1,202",999,"1,284",891,11,4,4,3,0,0,"21,583"
14-Feb-14,"3,316","3,002",37,"3,231","2,019","1,182",82,61,51,59,38,55,50,51,53,74,84,89,205,83,56,45,46,"4,402",296,368,280,297,274,277,275,273,354,281,280,278,290,277,302,"4,367",0,"1,202",998,"1,279",888,10,4,3,3,0,0,"21,566"
15-Feb-14,"3,312","3,002",37,"3,227","2,031","1,169",82,61,51,59,38,55,50,51,53,74,84,88,193,83,56,45,46,"4,396",296,367,278,297,273,277,273,273,354,281,280,278,290,277,302,"4,366",0,"1,202",998,"1,278",888,10,4,3,3,0,0,"21,550"
16-Feb-14,"3,310","3,000",36,"3,227","2,021","1,176",82,61,50,59,38,55,50,51,53,72,84,88,204,83,56,44,46,"4,396",296,367,278,297,273,277,273,273,354,281,280,278,290,277,302,"4,363",0,"1,202",998,"1,277",886,10,4,3,3,0,0,"21,539"
17-Feb-14,"3,308","2,998",37,"3,225","2,034","1,186",81,63,51,58,39,57,50,51,52,73,84,87,204,87,56,44,49,"4,382",296,367,278,296,273,277,273,273,354,281,280,278,277,277,302,"4,363",0,"1,202",998,"1,277",886,10,4,3,3,0,0,"21,543"
18-Feb-14,"3,312","3,001",37,"3,225","2,011","1,187",79,62,54,58,40,55,50,51,52,76,84,82,203,87,55,46,53,"4,402",296,367,278,299,277,276,273,276,353,281,280,278,288,278,302,"4,362",0,"1,200",997,"1,276",889,10,4,3,3,0,0,"21,547"
