Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,816","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,691"
10-Oct-12,"3,386","3,358","3,200","2,166","1,563",91,79,84,82,69,69,83,82,94,81,90,89,243,98,80,55,94,"4,348",298,369,280,300,274,279,274,278,339,280,280,279,239,279,300,"4,122",0,"1,188","1,000","1,028",906,13,4,5,4,0,6,"22,162"
11-Oct-12,"3,379","3,381","3,196","2,188","1,550",91,77,82,82,67,69,83,82,92,80,91,88,240,98,81,54,93,"4,350",297,369,280,300,276,279,274,280,339,280,280,278,238,280,300,"4,122",0,"1,192",999,"1,025",906,13,4,5,4,0,2,"22,181"
12-Oct-12,"3,376","3,380","3,190","2,203","1,533",91,75,79,81,67,69,88,82,92,77,91,84,237,99,78,51,92,"4,353",297,369,279,300,279,280,274,280,339,280,279,279,238,280,300,"4,120",0,"1,192",999,"1,025",904,12,4,4,4,0,28,"22,195"
13-Oct-12,"3,374","3,376","3,189","2,203","1,529",91,75,79,80,66,69,88,82,92,77,90,84,237,99,78,50,92,"4,352",297,369,278,300,279,280,274,280,339,280,279,279,238,280,300,"4,119",0,"1,191",999,"1,025",904,12,4,4,4,0,28,"22,182"
14-Oct-12,"3,373","3,376","3,185","2,203","1,527",91,75,79,80,66,68,88,82,92,77,90,84,237,98,78,50,92,"4,351",297,369,278,300,279,280,274,280,339,280,279,278,238,280,300,"4,118",0,"1,191",998,"1,025",904,12,4,4,4,0,27,"22,172"
15-Oct-12,"3,371","3,352","3,186","2,199","1,539",90,76,83,81,66,68,87,80,88,80,90,89,239,97,81,51,93,"4,353",298,368,279,300,280,280,274,280,340,280,279,279,238,280,298,"4,167",0,"1,189","1,000","1,074",904,13,4,5,4,0,6,"22,186"
16-Oct-12,"3,369","3,380","3,183","2,194","1,540",91,76,83,80,66,68,87,80,92,80,90,88,239,97,79,51,93,"4,353",301,366,280,299,280,280,274,279,340,280,280,279,237,280,298,"4,167",0,"1,190","1,000","1,071",906,13,4,5,4,0,6,"22,205"
17-Oct-12,"3,374","3,359","3,186","2,243","1,542",91,76,83,80,65,67,84,82,92,80,91,87,244,101,80,46,93,"4,352",301,366,279,300,280,279,274,279,339,280,280,280,236,280,299,"4,168",0,"1,191","1,000","1,071",906,12,3,5,4,0,6,"22,242"
18-Oct-12,"3,370","3,333","3,185","2,266","1,507",90,75,82,81,65,66,84,79,95,77,89,86,236,87,78,44,93,"4,352",299,369,279,300,279,280,276,278,339,280,279,279,235,280,300,"4,170",0,"1,183",999,"1,084",904,12,3,5,4,0,7,"22,202"
