Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
28-Jul-11,"3,099","3,222","3,134","1,924","1,563",79,68,89,84,88,89,77,89,94,89,93,84,198,96,87,75,84,"3,270",251,234,224,248,222,223,219,223,284,224,224,224,223,247,"5,141",900,"1,352",998,"1,000",891,9,6,3,0,5,5,"21,372"
29-Jul-11,"3,083","3,219","3,143","1,924","1,572",79,73,86,84,92,92,82,90,98,88,91,82,197,95,85,74,84,"3,274",251,235,224,247,223,223,220,223,281,226,224,224,223,250,"5,138",902,"1,350","1,000",995,891,9,6,3,0,5,28,"21,395"
30-Jul-11,"3,083","3,212","3,143","1,924","1,568",79,73,85,83,91,92,82,90,98,88,91,81,197,95,85,74,84,"3,272",251,234,224,247,223,223,220,223,281,225,224,224,223,250,"5,134",900,"1,350",999,995,890,9,6,3,0,5,31,"21,381"
31-Jul-11,"3,080","3,211","3,143","1,924","1,565",79,73,85,83,91,91,82,90,98,88,91,81,196,95,85,73,84,"3,267",251,234,223,247,223,223,219,222,281,225,223,224,223,249,"5,131",900,"1,349",999,994,889,9,6,3,0,5,32,"21,367"
Avg Population,"3,093","3,258","3,134","1,833","1,568",83,77,86,81,87,88,80,87,93,88,87,87,197,95,91,76,87,"3,273",249,235,224,248,223,223,219,223,284,224,224,224,224,251,"5,116",899,"1,349",998,982,887,10,6,4,0,5,15,"21,304"
