Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,483","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,463",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,876"
19-Sep-10,"3,382","3,097","3,168","1,707","1,523",73,79,64,89,83,76,74,81,95,84,86,78,224,90,78,71,98,"2,685",235,223,90,225,223,219,224,285,225,224,222,220,70,"5,322",901,"1,361",913,"1,194",953,9,3,4,2,6,53,"20,952"
20-Sep-10,"3,352","3,136","3,155","1,697","1,567",73,78,64,92,91,77,78,86,94,90,86,79,227,96,83,73,100,"2,738",235,224,139,225,224,219,224,285,225,223,222,223,70,"5,303",902,"1,361",892,"1,196",952,8,3,3,2,6,17,"20,979"
21-Sep-10,"3,350","3,124","3,168","1,686","1,560",73,78,65,92,91,77,78,86,94,87,84,82,228,95,83,70,97,"2,811",235,224,139,225,222,220,224,285,225,224,224,225,139,"5,286",901,"1,362",872,"1,200",951,8,3,3,2,5,13,"21,011"
22-Sep-10,"3,312","3,142","3,177","1,673","1,548",73,78,65,92,89,78,78,85,92,85,84,82,224,94,83,70,96,"2,859",235,224,190,224,223,220,224,285,224,223,223,225,139,"5,287",901,"1,365",871,"1,199",951,7,3,2,2,5,9,"21,019"
23-Sep-10,"3,303","3,132","3,173","1,679","1,521",71,78,63,91,86,77,78,83,90,85,82,81,221,93,81,66,95,"2,902",234,223,188,224,223,220,224,284,224,222,223,224,189,"5,285",901,"1,365",870,"1,198",951,7,3,2,2,5,9,"21,016"
24-Sep-10,"3,257","3,078","3,175","1,724","1,478",71,75,65,89,84,68,80,75,92,79,79,81,217,90,77,65,91,"2,960",234,224,238,224,225,220,224,285,225,224,224,224,189,"5,279",901,"1,366",870,"1,191",951,6,3,2,1,5,62,"21,024"
25-Sep-10,"3,258","3,078","3,173","1,724","1,477",71,75,65,89,84,68,80,75,92,79,79,81,217,90,77,65,90,"2,957",233,224,238,224,224,219,224,285,225,224,224,224,189,"5,276",901,"1,366",870,"1,189",950,6,3,2,1,5,62,"21,016"
26-Sep-10,"3,257","3,078","3,172","1,724","1,477",71,75,65,89,84,68,80,75,92,79,79,81,217,90,77,65,90,"2,957",233,224,238,224,224,219,224,285,225,224,224,224,189,"5,275",901,"1,366",870,"1,188",950,6,3,2,1,5,61,"21,012"
27-Sep-10,"3,227","3,085","3,168","1,696","1,520",71,78,69,91,86,77,81,83,92,85,79,82,218,93,79,66,90,"3,005",233,224,238,224,224,219,224,285,225,224,223,224,238,"5,271",900,"1,365",869,"1,186",951,7,3,2,2,5,9,"20,993"
