Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
10-Jul-15,"3,118",91,"2,536",23,136,"2,529",98,"1,190","1,101",51,67,55,52,50,60,0,50,69,71,72,62,187,74,63,46,72,"4,212",299,368,268,300,258,264,264,257,340,269,272,274,224,268,287,"3,847",0,"1,134",995,911,807,11,3,6,2,"18,892"
11-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,095",50,66,54,51,49,59,0,50,69,71,72,62,187,74,63,46,72,"4,212",299,368,268,300,258,264,264,257,340,269,272,274,224,268,287,"3,847",0,"1,134",995,911,807,11,3,6,2,"18,883"
12-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,086",50,66,54,51,49,59,0,49,68,70,71,61,187,73,62,45,71,"4,205",298,367,267,299,257,263,263,257,340,269,272,274,224,268,287,"3,847",0,"1,134",995,911,807,11,3,6,2,"18,867"
13-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,086",50,66,54,51,49,59,0,49,68,70,71,61,187,73,62,45,71,"4,211",298,367,267,299,257,263,263,257,341,270,273,275,224,269,288,"3,849",0,"1,135",996,911,807,11,3,6,2,"18,875"
14-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,086",50,66,54,51,49,59,0,49,68,70,71,61,187,73,62,45,71,"4,208",298,367,267,299,257,263,263,257,341,270,273,274,224,268,287,"3,849",0,"1,135",996,911,807,11,3,6,2,"18,872"
15-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,086",50,66,54,51,49,59,0,49,68,70,71,61,187,73,62,45,71,"4,200",298,367,267,299,257,263,262,256,340,269,272,273,224,267,286,"3,841",0,"1,133",994,909,805,7,2,4,1,"18,852"
16-Jul-15,"3,115",88,"2,529",20,129,"2,526",95,"1,194","1,055",48,65,52,49,47,57,0,47,66,68,69,59,185,71,60,43,69,"4,189",297,366,266,298,256,262,261,255,339,269,272,273,222,267,286,"3,841",0,"1,133",994,909,805,7,2,4,1,"18,788"
17-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,086",50,67,54,51,49,59,0,48,68,70,71,61,187,73,62,45,71,"4,216",300,368,268,300,258,264,263,257,339,271,274,275,224,269,286,"3,849",0,"1,135",996,911,807,13,4,6,3,"18,882"
18-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,086",50,67,54,51,49,59,0,48,68,70,71,61,187,73,62,45,71,"4,213",300,367,267,299,258,264,263,257,339,271,274,275,224,269,286,"3,849",0,"1,135",996,911,807,13,4,6,3,"18,879"
