Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,882",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,223"
1-Mar-17,3330,"3,458",28,26,"3,068","1,382",961,0,0,56,65,67,0,0,62,7,72,89,79,64,162,2,21,67,12,71,65,0,"3,819",239,289,261,286,220,222,273,279,351,199,239,293,200,227,241,"3,029",0,"1,154","1,000",0,875,14,4,6,4,"19,115"
2-Mar-17,3328,"3,429",29,24,"3,071","1,411",971,0,0,63,75,65,0,0,61,7,71,88,78,63,160,2,19,67,12,76,64,0,"3,799",239,292,261,288,219,222,273,277,352,200,238,290,198,217,233,"3,031",0,"1,144",999,0,888,14,4,6,4,"19,107"
3-Mar-17,3339,"3,392",28,23,"3,067","1,409",964,0,0,62,73,62,0,0,66,9,70,84,76,63,157,2,24,69,12,73,62,0,"3,796",239,291,263,288,223,220,271,279,349,200,237,289,197,215,235,"3,043",0,"1,143","1,000",0,900,14,4,6,4,"19,075"
4-Mar-17,3335,"3,395",28,23,"3,067","1,409",964,0,0,62,73,62,0,0,66,9,70,84,76,63,157,2,24,69,12,73,62,0,"3,796",239,291,263,288,223,220,271,279,349,200,237,289,197,215,235,"3,041",0,"1,141","1,000",0,900,14,4,6,4,"19,072"
5-Mar-17,3335,"3,396",28,23,"3,066","1,409",962,0,0,62,73,62,0,0,65,9,70,84,76,62,157,2,24,69,12,73,62,0,"3,793",239,291,263,287,223,220,271,279,349,199,237,288,197,215,235,"3,041",0,"1,141","1,000",0,900,14,4,6,4,"19,067"
6-Mar-17,3331,"3,385",29,23,"3,063","1,434",989,0,0,63,76,64,0,0,63,9,81,88,76,63,163,3,24,66,12,74,64,0,"3,793",237,292,261,287,219,222,271,279,349,199,236,287,196,221,237,"3,022",0,"1,129",999,0,894,14,4,6,4,"19,083"
7-Mar-17,3351,"3,367",29,23,"3,070","1,419",986,0,0,63,76,64,0,0,63,9,82,90,76,63,163,3,22,62,12,74,64,0,"3,810",237,292,261,287,221,224,274,275,345,200,236,281,221,220,236,"3,032",0,"1,133",998,0,901,14,4,6,4,"19,101"
8-Mar-17,3355,"3,375",30,23,"3,069","1,415",981,0,0,63,76,65,0,0,59,9,82,90,75,64,165,5,21,59,12,72,64,0,"3,730",236,294,264,288,222,224,273,278,253,200,236,281,221,222,238,"3,031",0,"1,132",998,0,901,14,4,6,4,"19,023"
9-Mar-17,3356,"3,403",30,23,"3,065","1,379","1,020",0,0,71,85,70,0,0,58,9,88,90,75,65,163,5,21,57,12,82,69,0,"3,824",239,293,264,287,221,224,273,279,343,201,236,281,221,223,239,"3,017",0,"1,132",995,0,890,14,4,6,4,"19,131"
10-Mar-17,3360,"3,404",30,14,"3,067","1,353","1,016",0,0,71,80,72,0,0,63,10,86,85,78,60,159,5,22,65,12,80,68,0,"3,819",238,291,264,287,220,224,273,277,352,200,234,281,221,222,235,"3,029",0,"1,131","1,000",0,898,14,4,6,4,"19,106"
