Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
1-Aug-13,"3,388","3,342",36,"3,253","2,199","1,464",89,76,63,73,86,74,64,74,82,75,92,93,233,101,76,54,59,"4,429",300,369,280,300,280,279,274,273,355,280,280,280,300,278,301,"4,408",0,"1,191",997,"1,320",900,14,5,5,4,0,0,"22,533"
2-Aug-13,"3,382","3,346",36,"3,233","2,212","1,463",89,76,67,74,87,74,62,74,84,74,92,93,232,100,75,50,60,"4,434",300,368,280,300,280,280,273,280,355,280,279,280,299,279,301,"4,422",0,"1,194",999,"1,328",901,12,5,3,4,0,0,"22,540"
3-Aug-13,"3,381","3,344",36,"3,228","2,212","1,461",89,76,67,73,87,74,62,74,84,74,92,93,232,100,74,50,60,"4,433",300,368,280,300,280,280,273,280,355,280,279,279,299,279,301,"4,421",0,"1,194",998,"1,328",901,12,5,3,4,0,0,"22,528"
4-Aug-13,"3,379","3,342",36,"3,227","2,212","1,461",89,76,67,73,87,74,62,74,84,74,92,93,232,100,74,50,60,"4,430",299,368,279,300,280,280,273,280,355,279,279,279,299,279,301,"4,421",0,"1,194",998,"1,328",901,12,5,3,4,0,0,"22,520"
5-Aug-13,"3,376","3,349",36,"3,218","2,203","1,472",89,75,67,70,88,80,64,76,83,75,92,93,232,101,77,51,59,"4,421",299,367,278,299,280,279,271,279,354,279,279,279,299,278,301,"4,414",0,"1,193",998,"1,325",898,12,5,3,4,0,0,"22,501"
6-Aug-13,"3,374","3,381",35,"3,224","2,200","1,469",89,75,66,70,89,80,64,75,85,76,92,93,229,101,77,51,57,"4,419",299,367,277,298,280,279,274,279,354,278,278,277,299,279,301,"4,413",0,"1,193",998,"1,325",897,12,5,3,4,0,0,"22,527"
7-Aug-13,"3,383","3,339",36,"3,232","2,201","1,461",88,75,66,70,90,80,61,73,84,77,90,93,234,100,74,50,56,"4,428",297,367,278,300,280,280,275,281,355,278,280,277,299,280,301,"4,414",0,"1,198",998,"1,322",896,12,5,3,4,0,0,"22,506"
8-Aug-13,"3,386","3,313",36,"3,236","2,217","1,459",91,75,66,70,88,79,61,71,82,78,90,93,231,102,72,50,60,"4,426",298,369,279,300,280,279,274,280,354,277,279,282,296,279,300,"4,409",0,"1,196",999,"1,321",893,12,5,3,4,0,0,"22,494"
9-Aug-13,"3,379","3,313",35,"3,235","2,220","1,448",91,75,66,68,86,78,59,68,81,76,93,92,229,101,72,53,60,"4,422",298,366,278,300,280,280,273,280,355,278,279,280,296,279,300,"4,389",0,"1,196",999,"1,301",893,12,5,3,4,0,0,"22,453"
