Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,529","3,293","2,066","2,056","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,058",294,280,280,280,274,250,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"21,940"
10-May-06,"4,484","3,195","1,973","1,689","1,737",90,94,93,98,100,97,95,101,95,91,85,85,221,99,99,93,101,"3,040",295,279,278,276,272,244,280,280,278,278,280,"4,824",971,868,994,128,931,932,12,3,5,4,5,2,"20,961"
11-May-06,"4,495","3,164","1,965","1,698","1,760",90,102,94,99,101,100,95,102,102,92,87,86,220,95,103,92,100,"3,032",294,276,280,280,271,243,280,279,273,276,280,"4,843",968,868,994,128,938,947,12,3,5,4,5,2,"20,976"
12-May-06,"4,493","3,164","1,967","1,690","1,720",87,96,91,100,90,98,93,100,101,83,89,84,220,96,102,89,101,"3,029",293,274,279,280,273,242,280,279,273,277,279,"4,832",965,868,994,128,937,940,10,2,5,3,5,44,"20,954"
13-May-06,"4,490","3,179","1,966","1,690","1,718",87,96,89,100,90,98,93,100,101,83,89,84,220,96,102,89,101,"3,025",293,274,277,280,273,242,279,279,272,277,279,"4,830",965,868,994,128,937,938,10,2,5,3,5,44,"20,957"
14-May-06,"4,483","3,178","1,965","1,690","1,717",87,96,89,100,90,98,93,100,101,83,88,84,220,96,102,89,101,"3,024",293,274,277,279,273,242,279,279,272,277,279,"4,830",965,868,994,128,937,938,10,2,5,3,5,46,"20,948"
15-May-06,"4,474","3,184","1,944","1,706","1,763",91,102,91,100,99,100,102,100,101,91,89,88,221,101,100,89,98,"3,033",293,273,280,280,273,244,280,279,277,276,278,"4,820",964,868,994,127,930,937,12,3,5,4,5,6,"20,947"
16-May-06,"4,478","3,137","1,962","1,740","1,769",91,102,91,99,99,100,100,99,101,91,88,88,221,98,100,100,101,"3,034",293,280,280,278,273,244,279,280,277,275,275,"4,839",961,868,992,127,941,950,12,3,5,4,5,4,"20,980"
17-May-06,"4,491","3,174","1,952","1,728","1,761",90,102,90,99,99,97,100,99,102,91,89,88,218,97,98,100,102,"3,033",294,280,280,279,275,244,276,280,276,275,274,"4,835",960,867,991,127,940,950,12,3,5,4,5,2,"20,993"
18-May-06,"4,490","3,142","1,946","1,747","1,773",90,99,96,99,102,96,100,102,102,91,89,88,218,101,101,98,101,"3,048",293,280,280,278,274,250,276,280,279,279,279,"4,834",960,865,991,128,946,944,12,3,5,4,5,4,"21,001"
