date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,832","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,641"
10-Feb-13,"3,351","3,218",24,"3,237","2,176","1,472",89,73,71,73,76,76,74,77,79,78,83,83,230,90,76,66,78,"4,326",299,362,275,299,278,278,274,278,336,274,280,277,240,277,299,"4,300",0,"1,117",998,"1,285",900,52,5,6,4,0,37,"22,156"
11-Feb-13,"3,349","3,217",24,"3,233","2,185","1,496",89,76,77,75,76,76,76,79,79,79,83,85,235,91,78,65,77,"4,339",299,369,275,298,278,278,274,277,336,277,280,280,240,277,301,"4,301",0,"1,116",998,"1,286",901,23,5,6,4,0,8,"22,167"
12-Feb-13,"3,362","3,188",25,"3,243","2,174","1,503",90,76,80,75,76,76,76,79,78,79,85,85,234,90,78,65,81,"4,347",298,367,277,298,280,280,274,277,336,279,279,279,242,280,301,"4,312",0,"1,120",998,"1,291",903,24,5,6,4,0,9,"22,178"
13-Feb-13,"3,363","3,183",25,"3,250","2,175","1,502",91,74,78,76,75,77,75,79,79,77,83,82,244,93,77,65,77,"4,353",299,367,279,300,280,280,274,279,339,277,279,279,241,280,300,"4,209",0,999,"1,009","1,296",905,25,5,6,4,0,10,"22,085"
14-Feb-13,"3,353","3,173",22,"3,244","2,177","1,525",92,75,73,78,78,77,79,79,82,80,89,80,242,93,80,71,77,"4,350",298,365,278,300,280,280,274,279,340,279,279,280,240,278,300,"4,317",0,"1,124",998,"1,289",906,26,5,6,4,0,11,"22,187"
15-Feb-13,"3,344","3,146",23,"3,215","2,199","1,508",92,72,71,76,77,76,76,75,83,77,91,78,245,90,79,71,79,"4,375",298,370,280,300,278,278,273,280,340,278,279,280,263,278,300,"4,305",0,"1,125",999,"1,276",905,51,5,6,4,0,36,"22,166"
16-Feb-13,"3,340","3,142",24,"3,216","2,199","1,507",92,71,71,76,77,76,76,75,78,77,91,78,245,89,79,71,85,"4,370",298,369,277,300,277,278,273,280,340,278,279,280,263,278,300,"4,302",0,"1,125",999,"1,273",905,50,5,4,4,0,37,"22,150"
17-Feb-13,"3,340","3,141",24,"3,216","2,199","1,505",92,71,70,76,77,76,76,75,78,77,91,78,245,89,79,70,85,"4,366",298,369,277,300,276,277,273,280,340,278,279,280,262,278,299,"4,302",0,"1,125",999,"1,273",905,50,5,4,4,0,37,"22,143"
18-Feb-13,"3,337","3,141",24,"3,215","2,203","1,528",92,74,72,77,78,77,79,77,78,80,91,80,246,92,79,70,86,"4,360",298,369,276,300,275,277,273,280,339,277,279,279,262,277,299,"4,299",0,"1,125",999,"1,270",905,28,5,6,4,0,13,"22,135"
