date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County (re-opened 10-07-02),Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (closed 10-09-02),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
21-Oct-02,"5,331","3,114","1,992","1,815","1,300",73,74,74,73,75,75,72,72,72,75,68,64,138,75,74,73,73,"2,486",228,224,225,225,225,226,230,227,226,224,226,"3,394",0,703,989,710,992,12,4,7,1,5,"19,449"
22-Oct-02,"5,363","3,074","1,985","1,862","1,302",73,74,74,73,74,74,71,72,74,75,69,64,140,75,74,73,73,"2,483",228,227,225,224,222,226,229,227,225,224,226,"3,393",0,703,989,710,991,11,4,6,1,5,"19,478"
23-Oct-02,"5,334","3,053","2,018","1,871","1,303",73,74,74,73,74,74,71,73,73,75,69,64,140,74,74,73,75,"2,484",228,227,225,224,220,226,229,227,225,227,226,"3,418",0,728,989,710,991,11,4,6,1,5,"19,497"
24-Oct-02,"5,352","3,027","2,033","1,896","1,304",73,74,74,73,74,74,71,73,74,75,69,64,140,74,74,73,75,"2,487",227,227,225,227,219,226,229,227,227,227,226,"3,411",0,727,989,704,991,11,4,6,1,5,"19,526"
25-Oct-02,"5,344","3,023","2,040","1,908","1,257",70,71,70,69,68,72,70,68,73,71,68,59,138,71,74,70,75,"2,496",227,227,227,227,225,226,229,229,227,226,226,"3,406",0,727,989,700,990,11,4,6,1,5,"19,490"
26-Oct-02,"5,344","3,024","2,040","1,908","1,255",70,71,69,69,68,72,70,68,73,71,68,59,137,71,74,70,75,"2,496",227,227,227,227,225,226,229,229,227,226,226,"3,405",0,726,990,700,989,11,4,6,1,5,"19,488"
27-Oct-02,"5,343","3,025","2,040","1,908","1,254",70,71,69,68,68,72,70,68,73,71,68,59,137,71,74,70,75,"2,493",227,227,227,227,225,226,229,229,227,224,225,"3,404",0,726,990,700,988,11,4,6,1,5,"19,483"
28-Oct-02,"5,357","3,021","2,027","1,928","1,297",73,74,75,73,74,75,73,73,74,73,69,61,136,75,71,73,75,"2,485",225,227,225,227,223,226,229,227,227,224,225,"3,397",0,724,985,700,988,11,4,6,1,5,"19,528"
29-Oct-02,"5,359","3,037","2,043","1,913","1,294",75,74,74,71,74,75,74,71,72,73,68,61,135,75,73,75,74,"2,485",225,227,226,227,223,226,228,226,227,225,225,"3,395",0,724,984,700,987,11,4,6,1,5,"19,542"
30-Oct-02,"5,370","3,032","2,042","1,934","1,293",75,74,75,71,73,75,74,71,74,73,68,60,135,75,72,74,74,"2,485",225,226,226,227,224,226,228,226,227,225,225,"3,404",0,724,983,710,987,11,4,6,1,5,"19,576"
31-Oct-02,"5,368","3,033","2,040","1,943","1,302",75,73,75,75,74,75,74,71,74,73,68,61,139,75,72,73,75,"2,487",227,226,227,226,224,225,228,225,227,228,224,"3,413",0,724,993,713,983,11,4,6,1,5,"19,602"
