Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity 1-Apr-19,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,179"
,"3,281","3,677",33,0,"2,663","1,357","1,092",0,0,77,316,59,73,54,0,0,0,0,68,48,71,54,160,11,39,0,0,0,62,0,"4,248",300,294,275,308,335,271,274,279,345,274,279,279,168,267,300,"3,166",0,"1,247",995,0,924,7,0,4,3,32,9,19,4,0,0,"19,556"
2-Apr-19,"3,274","3,654",34,0,"2,665","1,325","1,079",0,0,79,303,59,73,54,0,0,0,0,70,48,71,54,159,10,37,0,0,0,62,0,"4,270",300,294,273,307,334,271,281,280,351,279,279,278,167,277,299,"3,172",0,"1,243","1,000",0,929,7,0,4,3,32,9,19,4,0,0,"19,512"
3-Apr-19,"3,275","3,651",34,0,"2,662","1,335","1,087",0,0,79,303,59,75,54,0,0,0,0,70,48,78,54,159,10,36,0,0,0,62,0,"4,272",300,294,273,310,334,274,281,280,351,279,279,278,167,274,298,"3,171",0,"1,242","1,000",0,929,7,0,4,3,33,10,19,4,0,0,"19,527"
4-Apr-19,"3,271","3,685",34,0,"2,666","1,335","1,078",0,0,79,303,50,74,54,0,0,0,0,67,49,80,52,162,10,36,0,0,0,62,0,"4,270",299,294,273,309,333,279,281,278,348,279,279,278,167,274,299,"3,167",0,"1,241",998,0,928,8,0,5,3,33,10,19,4,0,0,"19,547"
5-Apr-19,"3,277","3,689",34,0,"2,662","1,361","1,077",0,0,84,303,72,49,54,0,0,0,0,66,48,79,54,160,10,36,0,0,0,62,0,"4,266",299,292,272,309,333,279,281,277,348,279,280,278,166,274,299,"3,166",0,"1,240",998,0,928,8,0,5,3,33,10,19,4,0,0,"19,573"
6-Apr-19,"3,276","3,690",34,0,"2,661","1,239","1,091",0,0,85,303,85,49,54,0,0,0,0,66,48,79,54,160,10,36,0,0,0,62,0,"4,264",299,292,272,308,333,279,281,276,348,279,280,278,166,274,299,"3,165",0,"1,239",998,0,928,8,0,5,3,33,10,19,4,0,0,"19,461"
7-Apr-19,"3,276","3,690",34,0,"2,661","1,361","1,067",0,0,85,297,72,49,54,0,0,0,0,66,48,79,54,160,10,31,0,0,0,62,0,"4,262",299,292,271,308,333,279,280,276,348,279,280,278,166,274,299,"3,165",0,"1,239",998,0,928,8,0,5,3,33,10,19,4,0,0,"19,557"
8-Apr-19,"3,288","3,657",34,0,"2,653","1,385","1,087",0,0,83,315,65,49,54,0,0,0,0,67,48,86,55,162,10,31,0,0,0,62,0,"4,292",299,292,271,308,342,279,289,278,348,280,280,280,166,279,301,"3,179",0,"1,252","1,000",0,927,8,0,5,3,33,10,19,4,0,0,"19,616"
9-Apr-19,"3,291","3,653",32,0,"2,662","1,395","1,087",0,0,83,313,68,49,54,0,0,0,0,67,48,86,55,162,10,31,0,0,0,61,0,"4,289",299,291,271,308,342,279,288,278,348,280,280,280,166,279,300,"3,176",0,"1,250",999,0,927,8,0,5,3,33,10,19,4,0,0,"19,626"
10-Apr-19,"3,296","3,664",30,0,"2,666","1,364","1,094",0,0,83,320,65,52,52,0,0,0,0,70,47,86,55,162,10,31,0,0,0,61,0,"4,282",301,290,270,310,339,279,288,278,348,278,280,280,165,278,298,"3,174",0,"1,249",999,0,926,8,0,5,3,0,10,19,4,0,0,"19,578"
11-Apr-19,"3,287","3,699",30,0,"2,667","1,366","1,093",0,0,87,319,67,51,52,0,0,0,0,70,47,83,54,161,10,31,0,0,0,61,0,"4,178",298,293,266,310,339,280,293,276,247,277,280,280,165,277,297,"3,173",0,"1,248",999,0,926,8,0,5,3,36,11,21,4,0,0,"19,537"
12-Apr-19,"3,282","3,718",31,0,"2,661","1,383","1,078",0,0,87,309,67,50,52,0,0,0,0,70,47,83,54,160,10,29,0,0,0,60,0,"4,274",300,292,266,309,339,280,292,276,346,277,280,280,165,275,297,"3,174",0,"1,248","1,000",0,926,8,0,5,3,36,11,21,4,0,0,"19,645"
13-Apr-19,"3,282","3,718",31,0,"2,660","1,383","1,077",0,0,87,308,67,50,52,0,0,0,0,70,47,83,54,160,10,29,0,0,0,60,0,"4,271",300,292,266,309,338,280,292,276,345,277,280,280,165,275,296,"3,173",0,"1,247","1,000",0,926,8,0,5,3,36,11,21,4,0,0,"19,639"
14-Apr-19,"3,280","3,716",31,0,"2,658","1,383","1,070",0,0,87,304,67,50,51,0,0,0,0,70,47,83,54,159,10,28,0,0,0,60,0,"4,260",300,291,265,308,337,279,292,275,344,277,279,279,163,275,296,"3,173",0,"1,247","1,000",0,926,8,0,5,3,36,11,21,4,0,0,"19,615"
15-Apr-19,"3,273","3,675",30,0,"2,657","1,409","1,063",0,0,86,302,67,51,51,0,0,0,0,70,46,83,54,158,10,29,0,0,0,56,0,"4,290",298,291,279,307,342,279,290,279,350,281,279,279,159,279,298,"3,185",0,"1,260","1,000",0,925,8,0,5,3,34,10,21,3,0,0,"19,624"
16-Apr-19,"3,279","3,685",30,0,"2,659","1,414","1,073",0,0,86,296,66,50,52,0,0,0,0,70,46,80,59,163,11,39,0,0,0,55,0,"4,287",298,294,274,309,340,280,290,279,350,281,279,279,159,278,297,"3,183",0,"1,258","1,000",0,925,8,0,5,3,34,9,21,4,0,0,"19,652"
17-Apr-19,"3,279","3,707",32,0,"2,663","1,419","1,067",0,0,86,293,66,47,51,0,0,0,0,69,46,80,61,163,11,39,0,0,0,55,0,"4,284",298,293,274,309,339,281,290,279,349,281,280,280,157,277,297,"3,183",0,"1,258","1,000",0,925,8,0,5,3,34,9,21,4,0,0,"19,676"
