Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Oct-03,"5,691","3,152","2,125","1,927","1,505",80,72,95,92,71,72,91,88,88,92,47,60,219,94,86,59,99,"2,571",234,235,234,235,234,228,234,234,235,235,233,"3,458",729,992,743,994,16,6,8,2,6,5,"20,456"
2-Oct-03,"5,706","3,147","2,123","1,930","1,505",80,72,94,91,70,72,90,88,91,92,47,60,222,94,86,58,98,"2,567",232,233,234,235,235,227,234,234,235,235,233,"3,465",729,994,750,992,18,6,8,4,6,7,"20,474"
3-Oct-03,"5,687","3,181","2,108","1,913","1,477",77,71,92,88,69,71,88,86,89,88,48,64,219,91,81,62,93,"2,569",233,235,234,235,235,226,233,234,234,235,235,"3,467",729,994,752,992,18,6,8,4,6,48,"20,474"
4-Oct-03,"5,687","3,180","2,109","1,913","1,475",77,71,90,88,69,71,88,86,89,87,48,64,220,91,81,62,93,"2,568",233,235,234,235,235,226,233,234,234,235,234,"3,467",729,994,752,992,18,6,8,4,6,45,"20,468"
5-Oct-03,"5,687","3,182","2,108","1,913","1,474",77,71,90,88,69,71,88,86,88,87,48,64,220,91,81,62,93,"2,566",233,235,234,233,235,226,233,234,234,235,234,"3,466",729,993,752,992,18,6,8,4,6,44,"20,464"
6-Oct-03,"5,694","3,197","2,103","1,901","1,513",78,75,92,87,70,72,93,87,90,91,47,69,222,94,83,64,99,"2,559",233,234,233,233,233,226,233,234,232,234,234,"3,463",728,992,751,992,18,6,8,4,6,2,"20,456"
7-Oct-03,"5,677","3,153","2,125","1,934","1,552",86,77,92,92,70,73,93,96,97,90,46,77,219,96,83,65,100,"2,567",237,235,234,233,233,224,235,235,235,231,235,"3,458",728,992,747,991,18,6,8,4,6,2,"20,492"
8-Oct-03,"5,691","3,159","2,115","1,952","1,553",86,76,90,92,70,73,93,97,97,90,46,77,222,95,83,65,101,"2,564",233,235,233,235,233,223,235,235,235,232,235,"3,459",727,993,748,991,18,6,8,4,6,2,"20,519"
9-Oct-03,"5,695","3,163","2,127","1,966","1,548",86,76,89,92,70,73,92,97,97,90,45,76,222,95,83,65,100,"2,564",235,235,233,235,235,221,235,234,235,232,234,"3,458",727,992,748,991,18,6,8,4,6,2,"20,547"
10-Oct-03,"5,699","3,159","2,111","1,956","1,509",84,72,87,89,68,71,90,90,99,89,44,73,219,94,85,62,93,"2,565",233,234,235,234,235,220,235,234,235,236,234,"3,455",731,990,744,990,16,4,8,4,6,44,"20,520"
11-Oct-03,"5,698","3,158","2,112","1,956","1,506",84,72,87,87,68,71,90,90,99,89,44,73,218,94,85,62,93,"2,564",233,234,235,234,235,219,235,234,235,236,234,"3,454",731,990,744,989,16,4,8,4,6,45,"20,515"
12-Oct-03,"5,696","3,158","2,109","1,956","1,506",84,72,87,87,68,71,90,90,99,89,44,73,218,94,85,62,93,"2,564",233,234,235,234,235,219,235,234,235,236,234,"3,453",731,989,744,989,16,4,8,4,6,45,"20,509"
13-Oct-03,"5,690","3,157","2,135","1,963","1,535",87,75,87,90,66,73,90,97,101,90,47,75,220,94,86,61,96,"2,563",232,234,235,235,235,219,234,234,235,236,234,"3,450",730,988,744,988,18,6,8,4,6,4,"20,521"
