date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
28-Dec-15,"3,288",25,"2,733",28,15,"2,707",25,"1,119","1,065",0,48,67,58,65,50,0,49,71,85,79,64,169,0,70,83,53,54,"3,853",0,344,273,257,268,270,246,274,329,269,276,276,225,266,280,"3,925",0,"1,149",997,909,870,11,3,6,2,"18,794"
29-Dec-15,"3,281",25,"2,759",28,14,"2,705",19,"1,080","1,077",0,48,66,56,66,51,0,48,71,82,79,69,169,0,68,91,59,54,"3,856",0,346,273,257,266,270,245,274,333,267,276,278,225,266,280,"3,927",0,"1,148",996,913,870,11,3,6,2,"18,782"
30-Dec-15,"3,286",24,"2,797",28,14,"2,710",18,"1,035","1,074",0,47,71,56,66,51,0,47,70,82,78,70,169,0,67,89,57,54,"3,857",0,346,269,257,266,270,245,275,329,267,277,279,225,272,280,"3,922",0,"1,147",996,913,866,10,2,6,2,"18,775"
31-Dec-15,"3,279",24,"2,799",28,13,"2,706",18,"1,037","1,068",0,46,71,55,66,51,0,47,70,82,78,69,169,0,64,89,57,54,"3,848",0,345,268,257,265,270,244,275,329,266,276,277,225,271,280,"3,922",0,"1,147",997,913,865,10,2,6,2,"18,752"
Avg Population,"3,297",47,"2,734",28,31,"2,710",46,"1,195","1,096",0,56,65,56,66,49,0,60,73,84,79,66,173,8,62,81,57,59,"3,788",0,332,269,256,265,272,249,265,322,256,273,278,219,257,274,"3,908",0,"1,133",997,900,878,12,4,6,2,"18,892"
