Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,560",360,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,081"
22-Jun-14,"3,342","2,655",42,"3,180","1,735","1,117",86,40,49,60,55,46,51,51,55,76,73,69,187,93,47,37,42,"4,382",292,358,276,298,278,279,271,277,350,273,281,278,295,279,297,4278,"1,203",997,"1,234",844,12,5,5,2,"20,743"
23-Jun-14,"3,332","2,655",42,"3,180","1,707","1,121",84,40,49,60,55,49,51,51,53,76,74,69,189,95,46,37,43,"4,378",294,355,277,296,277,280,274,277,351,274,282,278,288,278,297,4277,"1,201",997,"1,232",847,13,6,5,2,"20,705"
24-Jun-14,"3,332","2,611",42,"3,179","1,752","1,121",84,40,49,60,55,49,51,51,53,76,74,69,189,95,46,37,43,"4,378",294,355,277,296,277,280,274,277,351,274,282,278,288,278,297,4277,"1,201",997,"1,232",847,13,6,5,2,"20,705"
25-Jun-14,"3,340","2,618",42,"3,179","1,710","1,124",86,40,49,60,55,49,51,47,50,76,74,70,191,95,51,37,43,"4,392",293,358,277,299,275,280,274,279,351,272,280,278,298,278,300,4283,"1,200",1000,"1,237",846,13,6,5,2,"20,701"
26-Jun-14,"3,337","2,567",42,"3,188","1,730","1,133",86,40,51,59,55,48,50,48,54,76,76,71,193,97,50,36,43,"4,400",291,365,278,298,278,280,270,281,345,281,280,282,297,277,297,4284,"1,199",996,"1,245",844,13,6,6,1,"20,694"
27-Jun-14,"3,320","2,571",42,"3,188","1,743","1,124",87,39,51,58,56,46,46,47,56,74,75,71,191,97,49,37,44,"4,411",298,369,277,300,278,280,269,280,345,282,280,281,297,275,300,4286,"1,197",996,"1,249",844,13,6,6,1,"20,698"
28-Jun-14,"3,321","2,571",42,"3,186","1,745","1,124",87,39,51,58,56,46,46,47,56,74,75,71,191,97,49,37,44,"4,406",298,369,277,299,278,279,269,279,345,282,280,280,297,274,300,4284,"1,197",996,"1,248",843,13,6,6,1,"20,692"
29-Jun-14,"3,321","2,572",42,"3,183","1,745","1,123",87,39,51,58,55,46,46,47,56,74,75,71,191,97,49,37,44,"4,404",298,368,277,299,278,279,268,279,345,282,280,280,297,274,300,4283,"1,196",997,"1,248",842,13,6,6,1,"20,686"
30-Jun-14,"3,328","2,585",44,"3,184","1,708","1,132",85,39,49,58,57,48,47,48,56,75,75,70,197,97,50,37,44,"4,398",297,366,275,299,277,280,272,278,343,282,279,280,296,275,299,4288,"1,200",993,"1,254",841,13,6,6,1,"20,680"
Avg Pop,"3,323","2,683",41,"3,177","1,738","1,126",87,41,51,61,59,49,49,50,54,71,72,69,189,95,47,37,44,"4,391",297,365,278,299,278,279,272,277,351,276,280,279,285,277,295,"4,290","1,198",998,"1,241",852,13,6,5,2,"20,781"
