date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,133","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,228"
1-May-03,"5,681","3,119","2,134","2,108","1,299",74,75,73,75,73,75,74,75,75,70,62,57,147,72,74,73,75,"2,585",235,235,234,235,238,235,234,235,234,235,235,"3,379",682,992,714,991,12,6,4,2,6,,"20,323"
2-May-03,"5,674","3,120","2,156","2,088","1,278",73,73,73,73,74,74,69,75,74,70,61,56,145,70,74,70,74,"2,577",235,235,234,234,234,235,234,234,232,235,235,"3,378",681,992,715,990,12,6,4,2,6,,"20,289"
3-May-03,"5,672","3,119","2,156","2,088","1,278",73,73,73,73,74,74,69,75,74,70,61,56,145,70,74,70,74,"2,575",235,235,233,233,234,235,234,234,232,235,235,"3,377",681,992,714,990,12,6,4,2,6,,"20,283"
4-May-03,"5,667","3,118","2,155","2,088","1,278",73,73,73,73,74,74,69,75,74,70,61,56,145,70,74,70,74,"2,574",235,234,233,233,234,235,234,234,232,235,235,"3,377",681,992,714,990,12,6,4,2,6,,"20,275"
5-May-03,"5,671","3,144","2,145","2,068","1,297",73,73,74,75,74,74,74,75,75,72,62,56,147,72,74,72,75,"2,573",234,234,233,232,234,235,235,236,231,234,235,"3,379",681,990,714,994,11,6,3,2,6,,"20,294"
6-May-03,"5,669","3,124","2,162","2,095","1,279",72,69,70,74,73,75,74,72,75,72,60,56,145,70,75,72,75,"2,568",234,234,231,234,229,234,235,236,234,232,235,"3,385",683,996,713,993,12,6,4,2,6,,"20,300"
7-May-03,"5,688","3,111","2,146","2,096","1,289",72,74,74,75,73,75,71,72,75,74,60,55,148,69,75,73,74,"2,573",233,233,234,234,230,234,235,236,234,235,235,"3,384",682,996,713,993,18,6,10,2,6,,"20,311"
8-May-03,"5,675","3,128","2,145","2,083","1,290",72,74,75,74,73,75,71,72,73,74,59,56,148,72,75,73,74,"2,574",233,232,234,234,233,233,235,236,234,235,235,"3,379",682,991,713,993,18,6,10,2,6,,"20,298"
9-May-03,"5,672","3,122","2,147","2,062","1,262",64,72,74,73,74,73,66,68,74,74,60,59,146,69,74,71,71,"2,578",235,235,233,235,232,233,235,236,234,235,235,"3,390",684,995,717,994,18,6,10,2,5,,"20,256"
10-May-03,"5,668","3,121","2,146","2,062","1,260",64,72,74,73,74,73,65,68,74,74,59,59,146,69,74,71,71,"2,576",235,236,233,234,232,233,235,235,233,235,235,"3,390",684,995,717,994,18,6,10,2,5,,"20,246"
11-May-03,"5,666","3,120","2,143","2,062","1,259",64,72,74,73,74,73,65,68,74,74,59,58,146,69,74,71,71,"2,576",235,236,233,234,232,233,235,235,233,235,235,"3,389",683,995,717,994,18,6,10,2,5,,"20,238"
12-May-03,"5,679","3,136","2,139","2,040","1,290",75,73,74,73,74,74,70,75,75,73,58,57,147,73,75,73,71,"2,565",235,235,231,233,231,228,235,234,233,235,235,"3,384",680,994,717,993,18,6,10,2,6,,"20,257"
13-May-03,"5,668","3,135","2,151","2,062","1,293",75,74,74,73,74,74,70,75,75,73,58,57,146,73,75,73,74,"2,565",235,234,232,233,236,229,235,233,230,234,234,"3,383",679,993,716,995,18,6,10,2,6,,"20,281"
