Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,142"
18-Dec-19,"3,259","3,794",24,0,"2,661","1,174",817,0,0,66,176,54,0,37,0,0,0,0,73,46,63,64,147,21,21,0,0,0,49,0,"4,235",298,293,268,309,332,276,255,277,345,279,328,279,139,268,289,"3,167",0,"1,252",996,0,919,7,0,4,3,22,3,16,3,0,0,"19,160"
19-Dec-19,"3,255","3,825",24,0,"2,661","1,176",800,0,0,65,164,54,0,37,0,0,0,0,72,45,63,64,147,21,18,0,0,0,50,0,"4,228",299,292,267,309,329,276,253,277,345,279,328,278,139,268,289,"3,161",0,"1,250",993,0,918,7,0,4,3,25,3,15,3,0,4,"19,162"
20-Dec-19,"3,256","3,874",24,0,"2,652","1,175",798,0,0,64,160,54,0,37,0,0,0,0,71,45,63,64,147,21,22,0,0,0,50,0,"4,232",299,291,267,309,329,275,253,277,345,279,337,278,137,268,288,"3,158",0,"1,248",993,0,917,7,0,4,3,25,3,15,3,0,4,"19,201"
21-Dec-19,"3,254","3,872",24,0,"2,653","1,175",795,0,0,64,159,54,0,37,0,0,0,0,71,45,63,64,148,22,18,0,0,0,50,0,"4,229",299,291,267,309,329,275,253,277,345,279,335,278,137,267,288,"3,156",0,"1,247",992,0,917,7,0,4,3,26,3,15,4,0,4,"19,191"
22-Dec-19,"3,255","3,871",24,0,"2,653","1,175",790,0,0,64,157,54,0,37,0,0,0,0,71,45,63,64,146,22,17,0,0,0,50,0,"4,229",299,291,267,309,329,275,253,277,345,279,335,278,137,267,288,"3,155",0,"1,247",992,0,916,7,0,4,3,26,3,15,4,0,4,"19,185"
23-Dec-19,"3,260","3,819",24,0,"2,652","1,195",801,0,0,64,157,54,0,37,0,0,0,0,71,45,74,63,147,22,17,0,0,0,50,0,"4,269",298,291,267,308,332,277,254,280,352,280,340,280,137,279,294,"3,146",0,"1,249",992,0,905,7,0,4,3,27,4,15,4,0,4,"19,200"
24-Dec-19,"3,258","3,818",24,0,"2,653","1,193",794,0,0,64,150,54,0,37,0,0,0,0,71,45,74,63,147,22,17,0,0,0,50,0,"4,264",298,289,267,308,330,277,254,280,352,280,339,280,137,279,294,"3,147",0,"1,250",992,0,905,7,0,4,3,27,4,15,4,0,4,"19,185"
25-Dec-19,"3,258","3,819",24,0,"2,653","1,196",794,0,0,64,150,54,0,37,0,0,0,0,71,45,74,63,147,22,17,0,0,0,50,0,"4,264",298,289,267,308,330,277,254,280,352,280,339,280,137,279,294,"3,145",0,"1,250",992,0,903,7,0,4,3,27,4,15,4,0,4,"19,187"
26-Dec-19,"3,253","3,837",24,0,"2,682","1,197",792,0,0,67,149,54,0,36,0,0,0,0,71,45,74,63,144,22,17,0,0,0,50,0,"4,267",298,289,267,307,337,278,254,280,352,280,336,279,137,278,295,"3,135",0,"1,250",992,0,893,6,0,3,3,26,4,15,4,0,3,"19,219"
27-Dec-19,"3,248","3,838",24,0,"2,643","1,188",791,0,0,67,148,54,0,36,0,0,0,0,71,45,74,63,144,22,17,0,0,0,50,0,"4,294",298,294,266,310,336,280,253,280,352,280,351,280,137,279,298,"3,134",0,"1,252",992,0,890,6,0,3,3,26,4,15,4,0,3,"19,192"
28-Dec-19,"3,248","3,839",24,0,"2,643","1,188",790,0,0,67,147,54,0,36,0,0,0,0,71,45,74,63,144,22,17,0,0,0,50,0,"4,294",298,294,266,310,336,280,253,280,352,280,351,280,137,279,298,"3,133",0,"1,252",991,0,890,6,0,3,3,26,4,15,4,0,3,"19,191"
29-Dec-19,"3,247","3,836",24,0,"2,640","1,188",786,0,0,67,146,54,0,36,0,0,0,0,71,45,74,63,144,21,15,0,0,0,50,0,"4,291",298,294,266,309,335,280,253,280,352,280,351,279,137,279,298,"3,133",0,"1,252",991,0,890,6,0,3,3,26,4,15,4,0,3,"19,177"
