Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
11-Nov-02,"5,353","3,051","2,049","1,989","1,286",74,73,73,74,71,72,73,74,73,71,62,57,141,74,75,74,75,"2,488",227,229,224,226,226,227,226,225,225,227,226,"3,402",0,728,985,710,979,11,4,6,1,5,"19,634"
12-Nov-02,"5,333","3,067","2,037","2,026","1,288",75,74,73,73,71,72,72,74,74,70,62,59,141,74,75,74,75,"2,493",227,229,227,226,226,227,226,227,224,227,227,"3,408",0,728,981,708,991,11,4,6,1,5,"19,668"
13-Nov-02,"5,350","3,070","2,041","2,052","1,286",75,73,73,73,69,72,73,74,75,70,62,59,141,74,75,73,75,"2,485",227,229,227,222,224,227,225,228,224,226,226,"3,416",0,728,988,708,992,11,4,6,1,5,"19,716"
14-Nov-02,"5,359","3,105","2,036","2,036","1,285",75,71,73,73,69,72,73,75,75,69,62,59,144,74,73,73,75,"2,489",227,229,226,222,226,227,224,228,229,225,226,"3,412",0,727,986,708,991,11,4,6,1,5,"19,738"
15-Nov-02,"5,355","3,098","2,039","2,034","1,268",75,68,75,73,67,69,75,74,75,71,62,56,149,70,69,70,70,"2,494",226,229,226,226,226,227,224,227,229,228,226,"3,419",0,726,986,714,993,11,4,6,1,4,"19,722"
16-Nov-02,"5,353","3,096","2,038","2,034","1,264",75,68,73,73,67,69,75,74,75,71,60,56,149,70,69,70,70,"2,493",226,229,226,226,226,227,224,227,229,227,226,"3,420",0,727,986,714,993,11,4,6,1,4,"19,713"
17-Nov-02,"5,353","3,096","2,037","2,034","1,264",75,68,73,73,67,69,75,74,75,71,60,56,149,70,69,70,70,"2,491",226,229,226,226,225,227,224,226,229,227,226,"3,420",0,727,986,714,993,11,4,6,1,4,"19,710"
18-Nov-02,"5,357","3,116","2,035","2,040","1,303",75,71,75,75,72,75,75,75,75,70,64,58,148,74,73,73,75,"2,489",225,229,226,226,225,227,224,227,228,227,225,"3,418",0,727,985,713,993,11,4,6,1,5,"19,774"
19-Nov-02,"5,368","3,103","2,052","2,058","1,296",75,71,75,74,72,72,75,74,74,70,64,58,148,74,72,73,75,"2,485",225,228,226,226,225,227,224,227,228,225,224,"3,423",0,727,989,713,994,11,4,6,1,5,"19,801"
20-Nov-02,"5,363","3,119","2,064","2,038","1,293",75,71,75,74,72,72,74,73,75,69,64,58,148,74,72,72,75,"2,484",225,228,226,226,224,227,224,227,228,226,223,"3,423",0,727,989,714,993,11,4,6,1,5,"19,800"
