date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC,Lefore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
1-May-16,"3,366","2,802",32,4,"3,004","1,526","1,173",0,27,79,87,79,0,0,79,18,86,87,81,91,168,27,16,82,99,67,0,"3,415",239,292,240,240,200,200,240,240,258,199,200,200,232,200,235,"3,925",0,"1,097",997,938,893,16,6,6,4,"19,263"
2-May-16,"3,363","2,821",32,4,"3,005","1,512","1,165",0,27,79,85,79,0,0,78,17,87,89,82,90,166,26,15,81,99,65,0,"3,411",239,293,240,240,199,200,240,239,257,199,199,199,231,199,237,"3,918",0,"1,097",996,937,888,16,6,6,4,"19,247"
3-May-16,"3,360","2,845",32,4,"3,000","1,496","1,151",0,26,79,84,79,0,0,72,17,87,89,81,90,165,26,15,80,98,63,0,"3,414",239,293,240,239,199,200,240,239,260,198,198,201,231,200,237,"3,917",0,"1,096",996,934,891,16,6,6,4,"19,235"
4-May-16,"3,370","2,884",34,4,"2,997","1,504","1,147",0,26,79,83,79,0,0,69,17,89,91,80,90,165,24,15,80,97,63,0,"3,417",238,291,238,240,199,208,240,239,260,198,199,201,231,198,237,"3,898",0,"1,094",996,919,889,14,6,4,4,"19,269"
5-May-16,"3,368","2,902",34,4,"2,989","1,496","1,147",0,26,78,83,79,0,0,67,17,92,91,79,90,166,24,15,80,98,62,0,"3,409",239,290,240,240,200,198,240,240,260,198,201,201,230,199,233,"3,903",0,"1,093",996,915,899,14,6,4,4,"19,266"
6-May-16,"3,374","2,879",33,4,"3,004","1,466","1,160",0,26,80,83,79,0,0,80,17,92,89,77,89,166,27,15,78,100,62,0,"3,407",239,290,240,240,200,198,240,240,260,198,201,200,230,199,232,"3,919",0,"1,096",995,931,897,14,6,4,4,"19,260"
7-May-16,"3,372","2,880",33,4,"3,001","1,466","1,156",0,26,80,83,79,0,0,77,17,92,89,77,89,166,27,15,77,100,62,0,"3,405",239,290,240,240,200,198,240,240,259,198,201,200,230,199,231,"3,918",0,"1,095",995,931,897,14,6,4,4,"19,249"
8-May-16,"3,372","2,879",33,4,"3,000","1,466","1,154",0,26,80,83,79,0,0,75,17,92,89,77,89,166,27,15,77,100,62,0,"3,403",239,290,240,240,200,198,239,240,259,198,201,200,230,198,231,"3,917",0,"1,095",995,930,897,14,6,4,4,"19,242"
9-May-16,"3,360","2,918",34,6,"2,988","1,459","1,157",0,26,82,82,79,0,0,73,17,92,90,79,90,166,27,77,15,100,62,0,"3,407",240,293,240,240,200,199,238,239,259,199,201,200,229,200,230,"3,911",0,"1,095",995,927,894,14,6,4,4,"19,254"
