Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
10-Jun-15,"3,088",97,"2,462",23,144,"2,529",99,"1,370","1,112",48,47,52,55,50,58,0,54,67,62,88,64,188,85,54,59,81,"4,171",301,347,271,296,262,259,253,265,336,256,268,272,230,266,289,"3,945",0,"1,130",994,922,899,0,6,6,4,"19,056"
11-Jun-15,"3,088",96,"2,484",23,144,"2,529",96,"1,350","1,114",48,50,52,53,50,57,0,56,66,62,88,65,188,85,54,59,81,"4,172",300,347,271,300,265,260,251,265,333,253,269,273,230,267,288,"3,947",0,"1,130",993,926,898,0,6,6,4,"19,059"
12-Jun-15,"3,089",95,"2,519",24,136,"2,530",94,"1,322","1,114",47,53,52,53,50,57,0,54,66,60,92,64,185,89,55,57,80,"4,167",300,344,266,299,265,262,248,263,341,260,267,273,230,263,286,"3,940",0,"1,127",994,922,897,0,6,5,4,"19,045"
13-Jun-15,"3,089",95,"2,519",24,136,"2,530",94,"1,317","1,114",47,53,52,53,50,57,0,54,66,60,92,64,185,89,55,57,80,"4,167",300,344,266,299,265,262,248,263,341,260,267,273,230,263,286,"3,940",0,"1,127",994,922,897,0,6,5,4,"19,040"
14-Jun-15,"3,089",95,"2,519",24,136,"2,530",94,"1,308","1,114",47,53,52,53,50,57,0,54,66,60,92,64,185,89,55,57,80,"4,167",300,344,266,299,265,262,248,263,341,260,267,273,230,263,286,"3,940",0,"1,127",994,922,897,0,6,5,4,"19,031"
15-Jun-15,"3,091",95,"2,519",24,136,"2,530",94,"1,308","1,114",47,53,52,53,50,57,0,54,66,60,92,64,185,89,55,57,80,"4,167",300,344,266,299,265,262,248,263,341,260,267,273,230,263,286,"3,940",0,"1,127",994,922,897,0,6,5,4,"19,033"
16-Jun-15,"3,089",95,"2,519",24,136,"2,530",94,"1,308","1,114",47,53,52,53,50,57,0,54,66,60,92,64,185,89,55,57,80,"4,168",300,344,266,299,265,262,248,263,341,260,267,273,230,263,287,"3,944",0,"1,128",995,923,898,18,7,6,5,"19,039"
17-Jun-15,"3,090",96,"2,520",25,137,"2,531",95,"1,309","1,123",48,54,53,54,51,58,0,55,67,61,92,64,185,89,55,57,80,"4,167",300,344,266,299,265,262,248,263,341,260,267,273,230,263,286,"3,940",0,"1,127",994,922,897,15,6,5,4,"19,048"
18-Jun-15,"3,089",95,"2,519",24,136,"2,530",94,"1,308","1,114",47,53,52,53,50,57,0,54,66,60,92,64,185,89,55,57,80,"4,168",300,344,266,299,265,262,248,263,341,260,267,273,230,263,287,"3,944",0,"1,128",995,923,898,18,7,6,5,"19,039"
