Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Dec-03,"5,634","3,105","2,115","1,965","1,480",88,69,92,70,63,72,74,97,102,90,39,63,215,91,84,72,99,"2,741",250,248,248,250,247,250,250,250,250,248,250,"3,426",725,988,724,989,16,6,7,3,6,3,"20,491"
2-Dec-03,"5,639","3,098","2,108","1,981","1,487",92,70,92,69,62,72,74,101,102,89,39,63,213,96,83,72,98,"2,744",249,249,250,249,250,249,250,249,250,249,250,"3,429",724,985,726,994,16,6,7,3,6,3,"20,511"
3-Dec-03,"5,638","3,097","2,116","1,979","1,493",92,70,92,69,63,72,74,99,102,88,39,68,213,96,87,72,97,"2,744",249,249,250,249,250,249,250,249,250,249,250,"3,431",724,988,725,994,16,6,7,3,6,3,"20,523"
4-Dec-03,"5,637","3,075","2,109","1,997","1,512",92,70,94,68,66,73,73,97,101,87,37,77,219,101,86,71,100,"2,740",249,248,250,248,249,248,250,249,250,249,250,"3,424",724,985,722,993,16,6,7,3,6,4,"20,520"
5-Dec-03,"5,635","3,092","2,106","1,997","1,516",92,75,95,68,65,73,73,97,101,87,37,76,220,101,85,71,100,"2,748",249,251,250,250,249,250,250,249,250,250,250,"3,426",731,983,722,990,17,6,7,4,6,5,"20,548"
6-Dec-03,"5,635","3,093","2,106","1,997","1,516",92,75,95,68,65,73,73,97,101,87,37,76,220,101,85,71,100,"2,747",249,250,250,250,249,250,250,249,250,250,250,"3,426",731,983,722,990,17,6,7,4,6,4,"20,547"
7-Dec-03,"5,637","3,091","2,106","1,997","1,514",92,75,95,68,65,73,73,97,101,87,37,76,220,101,83,71,100,"2,747",249,250,250,250,249,250,250,249,250,250,250,"3,425",731,983,722,989,17,6,7,4,6,5,"20,545"
8-Dec-03,"5,622","3,068","2,124","1,997","1,511",92,75,95,68,64,72,73,96,101,87,42,74,219,101,83,71,98,"2,742",248,250,248,249,248,250,250,249,250,250,250,"3,442",731,993,726,992,17,6,7,4,6,4,"20,533"
9-Dec-03,"5,631","3,054","2,124","1,997","1,525",92,77,95,68,63,71,73,97,102,87,42,77,221,101,88,71,100,"2,741",247,250,248,249,247,250,249,251,250,250,250,"3,452",731,993,736,992,17,6,7,4,6,3,"20,550"
10-Dec-03,"5,625","3,064","2,146","1,997","1,523",92,77,96,68,63,70,73,97,102,87,42,77,221,101,87,70,100,"2,744",250,250,248,248,250,249,249,250,250,250,250,"3,446",730,990,733,993,17,6,7,4,6,4,"20,572"
11-Dec-03,"5,633","3,058","2,145","1,997","1,520",92,77,96,68,63,69,73,97,102,88,41,77,221,101,86,70,99,"2,746",250,250,249,250,249,249,249,250,250,250,250,"3,431",730,989,720,992,17,6,7,4,6,5,"20,558"
12-Dec-03,"5,646","3,064","2,145","1,997","1,514",92,77,95,68,63,69,73,97,101,88,41,77,219,101,84,70,99,"2,746",250,249,250,250,250,248,249,250,250,250,250,"3,432",730,989,720,993,16,6,6,4,6,3,"20,569"
13-Dec-03,"5,645","3,064","2,144","1,997","1,512",92,77,95,68,63,69,73,97,101,88,39,77,219,101,84,70,99,"2,743",250,249,250,249,250,248,249,248,250,250,250,"3,432",730,989,720,993,16,6,6,4,6,3,"20,562"
