Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS      ***,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
21-Aug-02,"5,116","2,903","2,052","1,914","1,305",75,72,74,73,75,75,72,75,74,68,74,66,141,70,74,75,72,"2,016",0,201,201,202,202,202,202,201,202,202,201,"3,993",816,672,987,523,995,14,5,8,1,6,"19,319"
22-Aug-02,"5,147","2,909","2,049","1,904","1,305",75,72,74,75,75,75,72,75,74,68,73,66,141,70,73,75,72,"2,015",0,201,201,201,202,202,202,201,202,202,201,"3,969",799,671,983,523,993,13,4,8,1,6,"19,317"
23-Aug-02,"5,106","2,930","2,025","1,896","1,269",73,69,73,72,75,72,72,72,74,67,72,64,135,69,71,71,68,"2,013",0,200,200,202,202,202,200,202,202,202,201,"4,000",798,708,982,520,992,12,3,8,1,6,"19,257"
24-Aug-02,"5,104","2,931","2,024","1,896","1,269",73,69,73,72,75,72,72,72,74,67,72,64,135,69,71,71,68,"2,012",0,200,200,202,202,201,200,202,202,202,201,"4,000",798,708,982,520,992,12,3,8,1,6,"19,254"
25-Aug-02,"5,103","2,932","2,024","1,896","1,267",72,69,73,72,75,72,72,72,74,67,72,63,135,69,71,71,68,"2,013",0,200,200,202,202,202,200,202,202,202,201,"3,998",798,708,980,520,992,12,3,8,1,6,"19,251"
26-Aug-02,"5,095","2,928","2,007","1,935","1,295",74,72,74,75,75,73,72,75,74,69,72,64,139,70,72,74,71,"2,006",0,199,201,201,201,200,200,201,202,202,199,"3,995",798,707,979,520,991,13,4,8,1,6,"19,280"
27-Aug-02,"5,112","2,927","2,001","1,939","1,301",75,73,74,75,74,73,75,75,73,73,72,63,138,70,73,74,71,"2,013",0,203,200,201,201,201,201,202,201,202,201,"3,991",797,706,979,520,989,13,4,8,1,6,"19,303"
28-Aug-02,"5,079","2,947","2,002","1,946","1,289",75,70,74,74,73,72,72,74,73,72,72,63,138,69,73,74,71,"2,010",0,202,200,201,201,201,200,202,201,202,200,"4,005",794,732,976,518,985,13,4,8,1,5,"19,296"
29-Aug-02,"5,102","2,956","1,989","1,936","1,300",75,71,75,75,73,74,71,74,75,72,71,63,141,68,72,75,75,"2,010",0,202,201,200,201,201,200,202,201,202,200,"3,991",793,731,976,507,984,13,4,8,1,5,"19,302"
30-Aug-02,"5,096","2,929","2,010","1,938","1,301",75,71,75,75,74,74,75,72,75,72,70,62,139,70,72,75,75,"2,011",0,202,201,202,202,201,201,199,200,202,201,"4,002",792,731,985,506,988,13,4,8,1,5,"19,305"
31-Aug-02,"5,095","2,929","2,010","1,938","1,301",75,71,75,75,74,74,75,72,75,72,70,62,139,70,72,75,75,"2,011",0,202,201,202,202,201,201,199,200,202,201,"4,002",792,731,985,506,988,13,4,8,1,5,"19,304"
