Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,630","3,233","2,226","2,247","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,834",250,250,250,250,274,250,250,280,250,280,250,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,108"
1-Jul-05,"4,614","3,166","2,172","1,630","1,674",89,100,94,93,94,96,80,94,94,91,84,71,210,94,102,87,101,"2,743",249,250,249,249,250,250,249,249,250,248,250,"4,838",960,870,995,127,899,987,15,6,5,4,5,1,"20,858"
2-Jul-05,"4,610","3,161","2,171","1,630","1,673",89,100,94,92,94,96,80,94,94,91,84,71,210,94,102,87,101,"2,741",249,249,249,249,250,250,249,249,250,248,249,"4,838",960,870,995,127,899,987,15,6,5,4,5,2,"20,846"
3-Jul-05,"4,608","3,160","2,169","1,630","1,670",88,100,94,92,93,96,80,94,94,91,84,71,210,94,101,87,101,"2,741",249,249,249,249,250,250,249,249,250,248,249,"4,837",960,870,994,127,899,987,15,6,5,4,5,3,"20,838"
4-Jul-05,"4,603","3,158","2,169","1,631","1,666",88,99,94,92,93,96,80,94,94,91,84,70,209,94,100,87,101,"2,741",249,249,249,249,250,250,249,249,250,248,249,"4,835",959,870,993,127,899,987,15,6,5,4,5,4,"20,827"
5-Jul-05,"4,619","3,153","2,175","1,615","1,661",88,99,93,91,92,96,80,94,94,90,84,70,209,93,100,87,101,"2,742",249,249,249,246,250,250,250,249,250,250,250,"4,834",959,870,992,127,899,987,15,6,5,4,5,4,"20,823"
6-Jul-05,"4,612","3,116","2,187","1,627","1,670",91,98,93,89,94,96,91,93,97,89,84,70,209,91,99,87,99,"2,743",249,250,250,248,247,249,250,250,250,250,250,"4,835",957,868,995,127,901,987,14,5,5,4,5,7,"20,816"
7-Jul-05,"4,599","3,118","2,186","1,644","1,670",91,98,93,88,94,95,91,96,96,89,84,74,205,90,99,89,98,"2,743",250,248,250,249,247,249,250,250,250,250,250,"4,835",966,868,994,126,897,984,14,5,5,4,5,7,"20,821"
8-Jul-05,"4,597","3,138","2,180","1,647","1,641",84,95,93,90,94,94,89,94,98,79,84,71,202,90,96,97,91,"2,739",250,248,250,249,247,249,250,250,248,248,250,"4,829",965,868,993,125,894,984,13,4,5,4,5,48,"20,837"
9-Jul-05,"4,593","3,134","2,181","1,647","1,640",84,95,93,90,94,94,89,94,98,79,84,70,202,90,96,97,91,"2,739",250,248,250,249,247,249,250,250,248,248,250,"4,825",964,868,992,125,892,984,13,4,5,4,5,46,"20,823"
10-Jul-05,"4,593","3,134","2,181","1,647","1,640",85,95,93,89,94,94,89,94,98,80,84,69,202,90,96,97,91,"2,737",250,248,250,249,246,249,250,250,248,247,250,"4,825",964,868,992,125,892,984,13,4,5,4,5,42,"20,817"
11-Jul-05,"4,601","3,118","2,179","1,638","1,680",91,97,93,89,93,94,94,99,102,87,84,70,203,90,99,97,98,"2,740",249,248,250,249,250,249,248,249,248,250,250,"4,840",970,875,994,126,892,983,14,5,5,4,5,5,"20,820"
12-Jul-05,"4,598","3,107","2,198","1,632","1,688",91,96,93,88,95,94,94,99,102,87,85,70,208,90,99,96,101,"2,742",249,250,250,250,250,248,248,249,248,250,250,"4,845",970,874,994,126,900,981,14,5,5,4,5,5,"20,834"
13-Jul-05,"4,585","3,104","2,197","1,653","1,693",91,98,96,88,94,95,96,100,102,87,85,70,207,89,99,95,101,"2,746",249,250,250,250,249,249,250,250,249,250,250,"4,854",972,874,993,126,900,989,14,5,5,4,5,3,"20,854"
