Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution 2,882",SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,,,"2,002","1,870",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,744"
19-Oct-15,"3,207",95,"2,684",27,140,"2,697",89,"1,250","1,140",80,68,43,48,48,53,0,79,67,68,74,61,170,100,69,54,58,"3,741",240,280,228,282,223,257,243,249,296,240,251,275,193,232,252,"3,872",0,"1,111",998,902,861,11,4,6,1,"18,953"
20-Oct-15,"3,207",95,"2,684",27,140,"2,697",89,"1,279","1,125",79,67,42,47,47,52,0,78,66,67,73,60,170,99,68,53,57,"3,733",239,279,227,283,222,256,242,248,295,239,251,275,193,232,252,"3,872",0,"1,111",998,902,861,11,4,6,1,"18,959"
21-Oct-15,"3,207",95,"2,684",27,140,"2,697",89,"1,252","1,125",79,67,42,47,47,52,0,78,66,67,73,60,170,99,68,53,57,"3,747",240,280,228,284,223,257,243,249,296,240,252,276,193,233,253,"3,879",0,"1,112",999,905,863,17,6,8,3,"18,959"
22-Oct-15,"3,207",95,"2,684",27,140,"2,697",89,"1,245","1,125",79,67,42,47,47,52,0,78,66,67,73,60,170,99,68,53,57,"3,755",240,280,228,284,223,257,244,250,297,241,253,277,193,234,254,"3,879",0,"1,112",999,905,863,17,6,8,3,"18,960"
23-Oct-15,"3,207",95,"2,684",27,139,"2,696",88,"1,254","1,110",78,66,41,46,46,51,0,77,65,66,72,59,170,98,67,52,56,"3,749",239,279,227,283,222,256,244,250,297,241,253,277,193,234,254,"3,879",0,"1,112",999,905,863,17,6,8,3,"18,945"
24-Oct-15,"3,205",94,"2,681",27,137,"2,696",88,"1,253","1,108",78,66,41,46,46,51,0,77,65,66,72,59,168,98,67,52,56,"3,747",239,279,227,283,222,256,244,250,297,241,253,277,191,234,254,"3,879",0,"1,112",999,905,863,17,6,8,3,"18,932"
25-Oct-15,"3,205",94,"2,681",27,137,"2,696",88,"1,253","1,108",78,66,41,46,46,51,0,77,65,66,72,59,168,98,67,52,56,"3,747",239,279,227,283,222,256,244,250,297,241,253,277,191,234,254,"3,879",0,"1,112",999,905,863,17,6,8,3,"18,932"
26-Oct-15,"3,212",90,"2,689",26,135,"2,675",96,"1,261","1,136",81,69,48,49,48,53,0,75,65,70,73,65,167,96,69,50,58,"3,684",239,278,228,271,223,257,241,241,275,236,255,272,189,226,253,"3,924",0,"1,110",998,921,895,11,4,6,1,"18,939"
27-Oct-15,"3,211",89,"2,688",25,134,"2,674",95,"1,290","1,134",80,68,48,49,48,53,0,75,65,70,73,65,167,96,69,50,58,"3,684",239,278,228,271,223,257,241,241,275,236,255,272,189,226,253,"3,924",0,"1,110",998,921,895,11,4,6,1,"18,959"
