date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,209","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,104"
1-Aug-04,"4,836","3,102","2,174","2,064","1,684",89,98,94,88,98,96,89,100,98,88,68,91,212,100,94,81,100,"2,739",250,249,248,246,248,250,250,249,250,250,249,"4,547",959,851,992,751,994,13,6,4,3,4,33,"21,196"
2-Aug-04,"4,833","3,122","2,174","2,078","1,705",86,100,95,88,99,95,92,102,101,91,68,93,213,102,94,85,101,"2,739",247,248,247,250,250,249,249,250,250,250,249,"4,542",959,851,990,748,994,13,6,4,3,4,5,"21,215"
3-Aug-04,"4,832","3,112","2,190","2,096","1,700",86,99,95,88,98,95,92,102,101,91,67,92,213,102,94,85,100,"2,740",246,249,248,250,249,249,249,250,250,250,250,"4,552",957,850,995,755,995,13,6,4,3,4,4,"21,243"
4-Aug-04,"4,855","3,097","2,182","2,113","1,693",86,99,93,87,98,96,95,99,102,91,66,90,213,102,93,84,99,"2,741",249,249,248,249,248,250,250,250,249,250,249,"4,551",958,850,995,754,994,13,6,4,3,4,5,"21,254"
5-Aug-04,"4,838","3,128","2,177","2,108","1,690",86,99,92,90,98,96,95,98,101,91,65,90,213,102,93,84,97,"2,737",248,250,247,249,246,250,250,249,249,250,249,"4,556",956,867,994,745,994,13,6,4,3,4,7,"21,258"
6-Aug-04,"4,850","3,117","2,175","2,079","1,649",88,94,92,89,89,94,94,98,98,86,64,88,212,99,91,79,94,"2,743",249,250,247,250,248,250,249,250,250,250,250,"4,563",958,866,994,750,995,13,6,4,3,4,44,"21,237"
7-Aug-04,"4,850","3,117","2,174","2,079","1,648",88,94,91,89,89,94,94,98,98,86,64,88,212,99,91,79,94,"2,743",249,250,247,250,248,250,249,250,250,250,250,"4,563",958,866,994,750,995,13,6,4,3,4,45,"21,236"
8-Aug-04,"4,849","3,116","2,175","2,079","1,647",88,93,91,89,89,94,94,98,98,86,64,88,212,99,91,79,94,"2,741",249,250,245,250,248,250,249,250,250,250,250,"4,560",958,864,994,750,994,13,6,4,3,4,45,"21,229"
9-Aug-04,"4,839","3,141","2,179","2,068","1,687",89,95,93,89,99,95,94,100,102,91,67,89,214,100,91,83,96,"2,742",250,250,245,250,248,250,249,250,250,250,250,"4,554",958,864,994,747,991,13,6,4,3,4,6,"21,233"
10-Aug-04,"4,821","3,123","2,188","2,071","1,685",89,95,93,89,98,95,93,100,102,90,67,89,215,100,91,83,96,"2,743",250,250,248,249,248,248,250,250,250,250,250,"4,578",960,874,992,757,995,13,6,4,3,4,8,"21,234"
11-Aug-04,"4,844","3,109","2,184","2,090","1,690",89,95,94,89,98,95,92,100,102,89,67,89,215,102,91,83,100,"2,742",249,250,250,249,248,248,249,249,250,250,250,"4,581",958,874,995,760,994,13,6,4,3,6,8,"21,267"
12-Aug-04,"4,842","3,138","2,184","2,109","1,684",89,93,94,89,102,94,92,100,101,89,65,88,214,100,90,83,101,"2,738",249,248,248,250,247,249,249,249,249,250,250,"4,566",956,873,994,748,995,13,6,4,3,6,5,"21,285"
13-Aug-04,"4,824","3,121","2,185","2,127","1,642",82,90,90,87,95,88,92,92,96,89,68,85,216,96,93,83,100,"2,746",249,250,249,250,250,249,249,250,250,250,250,"4,567",958,873,995,748,993,13,6,4,3,6,77,"21,308"
