Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
19-Jul-15,"3,117",90,"2,533",22,133,"2,528",97,"1,198","1,086",50,67,54,51,49,59,0,48,68,70,71,61,187,73,62,45,71,"4,202",300,367,267,298,257,263,262,256,338,270,273,274,224,268,285,"3,846",0,"1,134",995,910,807,13,4,6,3,"18,865"
20-Jul-15,"3,134",95,"2,511",21,128,"2,531",94,"1,166","1,118",57,61,53,53,49,59,0,50,73,75,73,60,196,78,63,45,73,"4,265",300,368,274,299,276,267,260,277,342,262,285,280,211,271,293,"3,794",0,"1,131",996,917,750,14,5,6,3,"18,871"
21-Jul-15,"3,121",90,"2,495",18,123,"2,722",91,"1,150","1,058",54,58,49,49,45,55,0,46,69,71,69,56,194,74,59,41,69,"4,207",296,364,270,295,272,263,256,273,338,258,281,276,209,267,289,"3,778",0,"1,127",992,913,746,7,3,3,1,"18,860"
22-Jul-15,"3,141",99,"2,511",20,127,"2,525",98,"1,145","1,122",57,62,53,52,47,59,0,50,75,75,72,59,195,78,63,50,75,"4,271",300,366,280,299,281,268,258,281,345,256,284,280,209,271,293,"3,796",0,"1,133",994,919,750,14,5,6,3,"18,869"
23-Jul-15,"3,140",98,"2,510",19,126,"2,524",97,"1,144","1,116",56,61,52,51,46,59,0,49,75,75,72,59,195,78,63,50,75,"4,271",300,366,280,299,281,268,258,281,345,256,284,280,209,271,293,"3,796",0,"1,133",994,919,750,14,5,6,3,"18,855"
24-Jul-15,"3,140",98,"2,510",19,126,"2,524",97,"1,144","1,111",56,61,52,51,46,59,0,49,75,75,72,58,195,77,62,49,74,"4,257",299,365,279,298,280,267,257,280,344,255,283,279,209,270,292,"3,796",0,"1,133",994,919,750,14,5,6,3,"18,836"
25-Jul-15,"3,140",98,"2,510",19,126,"2,524",97,"1,144","1,111",56,61,52,51,46,59,0,49,75,75,72,58,195,77,62,49,74,"4,256",299,365,279,298,280,267,257,280,344,255,283,279,209,270,291,"3,789",0,"1,132",992,917,748,9,4,4,1,"18,823"
26-Jul-15,"3,140",98,"2,510",19,126,"2,524",97,"1,144","1,111",56,61,52,51,46,59,0,49,75,75,72,58,195,77,62,49,74,"4,245",299,365,278,297,279,266,256,279,343,254,282,278,209,269,291,"3,789",0,"1,132",992,917,748,9,4,4,1,"18,812"
27-Jul-15,"3,105",83,"2,525",20,119,"2,530",94,"1,146","1,136",58,61,52,50,49,62,0,58,75,72,73,72,184,82,58,55,75,"4,285",299,366,279,300,277,272,266,280,354,263,278,280,209,274,288,"3,757",0,"1,129",993,888,747,14,5,6,3,"18,814"
