date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin Satellite Facility (RRP),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"6,000","1,000","1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,670"
18-May-20,"2,021","3,392",18,0,"2,483","1,480",529,0,0,90,7,80,0,0,0,0,46,36,78,49,132,11,0,0,0,0,"4,038",282,272,251,295,315,259,291,259,300,237,370,263,133,235,276,"3,802",773,"1,210",970,0,849,0,0,0,0,1,1,0,0,0,0,"17,764"
19-May-20,"2,021","3,380",18,0,"2,484","1,489",528,0,0,90,7,80,0,0,0,0,46,36,77,49,132,11,0,0,0,0,"4,033",282,272,250,295,315,259,291,258,300,235,370,263,133,234,276,"3,792",767,"1,209",970,0,846,0,0,0,0,1,1,0,0,0,0,"17,746"
20-May-20,"2,019","3,366",18,0,"2,481","1,501",523,0,0,90,7,80,0,0,0,0,46,36,74,49,130,11,0,0,0,0,"4,026",281,271,251,295,315,259,290,258,299,235,370,262,132,233,275,"3,789",767,"1,207",970,0,845,0,0,0,0,1,1,0,0,0,0,"17,724"
21-May-20,"2,018","3,365",18,0,"2,479","1,497",520,0,0,97,6,71,0,0,0,0,47,36,74,49,129,11,0,0,0,0,"4,022",281,271,250,295,315,259,289,258,299,235,370,262,132,232,274,"3,789",767,"1,207",970,0,845,0,0,0,0,1,1,0,0,0,0,"17,709"
22-May-20,"2,017","3,362",18,0,"2,478","1,508",518,0,0,97,5,71,0,0,0,0,46,36,74,49,129,11,0,0,0,0,"4,017",281,270,250,295,315,259,289,258,299,234,369,261,132,231,274,"3,788",767,"1,206",970,0,845,0,0,0,0,1,1,0,0,0,0,"17,707"
23-May-20,"2,017","3,359",18,0,"2,478","1,508",516,0,0,97,5,71,0,0,0,0,45,36,73,49,129,11,0,0,0,0,"4,015",281,269,249,295,315,259,289,258,299,234,369,261,132,231,274,"3,789",767,"1,207",970,0,845,0,0,0,0,1,1,0,0,0,0,"17,701"
24-May-20,"2,016","3,359",18,0,"2,478","1,508",516,0,0,97,5,71,0,0,0,0,45,36,73,49,129,11,0,0,0,0,"4,015",281,269,249,295,315,259,289,258,299,234,369,261,132,231,274,"3,789",767,"1,207",970,0,845,0,0,0,0,1,1,0,0,0,0,"17,700"
25-May-20,"2,015","3,359",18,0,"2,478","1,508",516,0,0,97,5,71,0,0,0,0,45,36,73,49,129,11,0,0,0,0,"4,013",281,269,249,295,314,259,289,258,299,234,369,261,132,231,273,"3,788",767,"1,206",970,0,845,0,0,0,0,1,1,0,0,0,0,"17,696"
26-May-20,"2,011","3,354",18,0,"2,478","1,508",513,0,0,88,5,71,0,0,0,0,53,36,73,49,128,10,0,0,0,0,"4,006",281,269,248,295,313,259,289,256,298,234,369,261,132,231,271,"3,787",767,"1,205",970,0,845,0,0,0,0,1,1,0,0,0,0,"17,676"
27-May-20,"2,016","3,342",18,0,"2,472","1,522",510,0,0,88,4,71,0,0,0,0,52,36,73,49,128,9,0,0,0,0,"3,999",281,269,248,295,312,257,288,255,297,234,368,261,132,231,271,"3,780",761,"1,205",970,0,844,0,0,0,0,1,1,0,0,0,0,"17,660"
28-May-20,"2,017","3,330",18,0,"2,467","1,529",509,0,0,88,4,71,0,0,0,0,52,36,73,49,127,9,0,0,0,0,"4,002",288,268,248,295,311,257,288,254,296,234,368,261,132,231,271,"3,765",749,"1,204",969,0,843,0,0,0,0,1,1,0,0,0,0,"17,638"
29-May-20,"2,012","3,321",18,0,"2,458","1,541",510,0,0,96,4,72,0,0,0,0,44,36,73,49,127,9,0,0,0,0,"3,991",288,266,247,295,311,257,287,254,294,234,368,261,130,230,269,"3,763",749,"1,203",968,0,843,0,0,0,0,1,1,0,0,0,0,"17,615"
30-May-20,"2,012","3,320",18,0,"2,457","1,541",510,0,0,96,4,72,0,0,0,0,44,36,73,49,127,9,0,0,0,0,"3,991",288,266,247,295,311,257,287,254,294,234,368,261,130,230,269,"3,763",749,"1,203",968,0,843,0,0,0,0,1,1,0,0,0,0,"17,613"
31-May-20,"2,010","3,319",18,0,"2,457","1,541",510,0,0,96,4,72,0,0,0,0,44,36,73,49,127,9,0,0,0,0,"3,990",288,266,247,295,311,257,287,254,294,234,368,261,130,229,269,"3,763",749,"1,203",968,0,843,0,0,0,0,1,1,0,0,0,0,"17,609"
Avg Population,"2,027",3398,18,0,2492,1488,526,0,0,78,8,73,0,13,0,0,49,37,78,49,131,11,0,0,0,0,4048,284,274,251,296,317,260,293,258,300,238,371,263,133,235,276,3812,781,1212,972,0,848,0,0,0,0,1,1,0,0,0,0,17810
