date_raw,MS STATE PENITENTIARY (See note at bottom),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,396","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,700",950,"1,000","1,000",750,"1,000",24,6,12,6,6,,"22,363"
27-May-04,"5,045","3,149","2,179","2,173","1,763",92,101,96,102,102,102,100,102,100,91,68,86,217,102,102,99,101,"2,745",250,246,250,250,249,250,250,250,250,250,250,"4,167",740,726,995,712,994,16,6,6,4,5,4,"21,246"
28-May-04,"5,043","3,161","2,165","2,168","1,754",92,101,95,101,101,102,94,102,101,91,68,87,216,101,102,100,100,"2,744",250,250,250,250,247,249,249,250,250,249,250,"4,176",739,725,993,726,993,16,6,6,4,5,7,"21,239"
29-May-04,"5,043","3,161","2,164","2,168","1,755",92,101,95,101,101,102,94,102,101,91,68,87,217,101,102,100,100,"2,742",249,250,249,250,247,249,249,250,250,249,250,"4,176",739,725,993,726,993,16,6,6,4,5,6,"21,236"
30-May-04,"5,042","3,159","2,164","2,168","1,755",92,101,95,101,101,102,94,102,101,91,68,87,217,101,102,100,100,"2,742",249,250,249,250,247,249,249,250,250,249,250,"4,174",738,725,993,726,992,16,6,6,4,5,5,"21,230"
31-May-04,"5,038","3,159","2,165","2,173","1,757",92,101,95,101,101,102,97,102,101,91,68,87,216,101,102,100,100,"2,741",249,250,249,250,247,249,249,250,249,249,250,"4,174",738,725,993,726,992,16,6,6,4,5,0,"21,228"
