date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution 2,882",SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,,,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
19-Nov-15,"3,283",86,"2,692",27,117,"2,690",99,"1,200","1,093",0,77,51,52,48,56,0,74,72,75,66,64,176,97,75,49,61,"3,661",0,315,270,257,232,272,253,262,305,242,256,276,215,232,274,"3,910",0,"1,116",997,908,889,12,4,5,3,"18,870"
20-Nov-15,"3,282",85,"2,691",27,117,"2,690",99,"1,200","1,093",0,77,51,52,48,56,0,74,72,75,66,64,176,97,75,49,61,"3,661",0,315,270,257,232,272,253,262,305,242,256,276,215,232,274,"3,910",0,"1,116",997,908,889,12,4,5,3,"18,867"
21-Nov-15,"3,283",86,"2,692",26,116,"2,689",98,"1,199","1,088",0,76,50,51,47,55,0,74,72,75,66,64,176,97,75,49,61,"3,661",0,315,270,257,232,272,253,262,305,242,256,276,215,232,274,"3,910",0,"1,116",997,908,889,12,4,5,3,"18,860"
22-Nov-15,"3,282",97,"2,656",28,113,"2,691",93,"1,198","1,116",0,78,52,55,49,63,0,79,74,76,67,65,176,94,76,50,62,"3,669",0,317,270,257,233,274,253,261,305,241,261,275,215,231,276,"3,912",0,"1,120",997,907,888,12,4,5,3,"18,867"
23-Nov-15,"3,278",97,"2,659",28,113,"2,691",93,"1,198","1,110",0,78,52,55,49,63,0,79,74,76,67,64,176,93,74,49,61,"3,669",0,317,270,257,233,274,253,261,305,241,261,275,215,231,276,"3,912",0,"1,120",997,907,888,12,4,5,3,"18,860"
24-Nov-15,"3,273",90,"2,675",28,79,"2,716",89,"1,278","1,095",0,77,48,54,48,62,0,77,71,74,74,63,175,92,72,48,60,"3,673",0,321,270,253,241,279,250,259,314,236,260,274,214,234,268,"3,909",0,"1,117","1,001",903,888,13,4,6,3,"18,918"
25-Nov-15,"3,264",89,"2,676",28,105,"2,711",88,"1,282","1,100",0,77,48,53,48,62,0,77,73,74,75,63,178,92,72,48,60,"3,705",0,319,269,253,259,277,260,261,316,235,265,277,212,235,267,"3,898",0,"1,116","1,000",895,887,12,4,6,2,"18,958"
26-Nov-15,"3,262",89,"2,676",28,105,"2,711",88,"1,278","1,100",0,77,48,53,48,62,0,77,73,74,75,63,178,92,72,48,60,"3,704",0,319,269,253,258,277,260,261,316,235,265,277,212,235,267,"3,897",0,"1,115","1,000",895,887,12,4,6,2,"18,950"
27-Nov-15,"3,261",88,"2,675",27,104,"2,710",87,"1,282","1,087",0,76,47,52,47,61,0,76,72,73,74,62,178,91,71,47,60,"3,704",0,319,269,253,258,277,260,261,316,235,265,277,212,235,267,"3,897",0,"1,115","1,000",895,887,12,4,6,2,"18,934"
