Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,678","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,553"
1-Jun-12,"3,306","3,077","3,165","2,140","1,544",90,84,75,92,80,81,79,86,90,74,92,90,194,95,78,86,78,"4,288",300,293,279,300,280,280,275,279,340,279,280,279,243,281,300,"4,299",0,"1,363",983,"1,047",906,12,5,3,4,0,45,"21,876"
2-Jun-12,"3,303","3,075","3,165","2,140","1,542",90,84,75,92,80,81,79,86,90,73,92,89,194,95,78,86,78,"4,286",300,293,279,299,280,280,275,279,339,279,280,279,243,281,300,"4,297",0,"1,363",981,"1,047",906,12,5,3,4,0,46,"21,866"
3-Jun-12,"3,304","3,075","3,162","2,140","1,540",90,83,75,92,80,81,79,87,90,72,92,88,194,95,78,86,78,"4,285",300,293,279,299,280,280,274,279,339,279,280,279,243,281,300,"4,295",0,"1,362",981,"1,046",906,12,5,3,4,0,45,"21,858"
4-Jun-12,"3,299","3,104","3,165","2,098","1,605",90,86,75,92,84,84,81,88,90,79,92,87,228,100,79,88,82,"4,282",299,294,279,299,278,280,275,279,338,279,280,279,242,281,300,"4,289",0,"1,358",981,"1,044",906,12,5,3,4,0,7,"21,861"
5-Jun-12,"3,298","3,091","3,167","2,082","1,609",91,86,75,92,84,83,81,88,89,79,93,87,232,100,79,88,82,"4,318",299,331,279,297,278,280,274,280,339,279,280,279,242,281,300,"4,297",0,"1,359",981,"1,050",907,12,5,3,4,0,8,"21,882"
6-Jun-12,"3,296","3,111","3,179","2,065","1,619",91,87,75,92,84,83,81,87,96,80,93,88,232,100,77,88,85,"4,318",299,331,278,296,280,280,274,280,338,280,280,280,242,280,300,"4,302",0,"1,364",980,"1,053",905,12,5,3,4,0,6,"21,908"
7-Jun-12,"3,289","3,144","3,177","2,035","1,619",91,86,74,92,84,83,81,86,98,79,93,90,232,99,78,88,85,"4,360",301,368,279,299,280,280,274,279,338,280,280,280,242,280,300,"4,304",0,"1,364",980,"1,055",905,11,4,3,4,0,3,"21,942"
8-Jun-12,"3,293","3,158","3,179","2,056","1,594",90,86,73,89,81,81,80,85,97,76,90,89,230,97,75,86,89,"4,349",298,368,279,299,277,279,274,278,339,280,279,280,241,278,300,"4,298",0,"1,362",980,"1,056",900,11,4,3,4,0,29,"21,967"
9-Jun-12,"3,289","3,158","3,180","2,056","1,591",90,86,71,89,81,81,80,85,97,76,90,88,230,97,75,86,89,"4,348",298,368,279,299,277,279,274,278,339,280,279,280,240,278,300,"4,297",0,"1,362",979,"1,056",900,11,4,3,4,0,28,"21,958"
