Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,704"
10-Jan-15,"3,205",0,"2,046",33,109,"2,489",97,"1,423","1,075",65,58,49,46,49,46,54,48,49,63,81,45,178,99,53,45,47,"4,163",299,363,265,299,254,258,245,252,326,250,269,274,274,273,262,"4,271",0,"1,178",999,"1,221",873,11,4,4,3,"18,922"
11-Jan-15,"3,113",90,"2,052",33,104,"2,490",97,"1,418","1,072",65,57,49,46,48,46,54,48,49,63,81,45,178,99,53,44,47,"4,161",299,363,265,299,254,258,245,252,326,250,268,274,274,273,261,"4,271",0,"1,178",999,"1,221",873,11,4,4,3,"18,912"
12-Jan-15,"3,111",89,"2,168",33,98,"2,585",96,"1,229","1,100",66,57,51,50,48,49,55,52,49,70,82,46,180,98,53,44,50,"4,158",299,362,265,299,254,258,245,250,326,250,269,274,274,272,261,"4,269",0,"1,176",999,"1,221",873,11,4,4,3,"18,947"
13-Jan-15,"3,017",88,"2,176",33,95,"2,582",93,"1,249","1,098",66,57,51,50,48,48,55,52,49,70,81,46,180,98,53,44,50,"4,154",299,361,265,299,254,258,245,249,325,250,269,274,273,272,261,"4,263",0,"1,176",999,"1,216",872,10,3,4,3,"18,858"
14-Jan-15,"3,104",85,"2,178",33,92,"2,579",89,"1,331","1,049",66,57,51,50,48,48,54,51,49,70,82,0,179,97,53,44,50,"4,142",299,357,265,299,254,257,243,247,325,249,269,274,273,271,260,"4,263",0,"1,177",999,"1,216",871,11,4,4,3,"18,956"
15-Jan-15,"3,189",88,"2,183",33,92,"2,565",88,"1,320","1,093",65,57,50,50,48,49,54,51,49,70,81,46,179,97,53,44,50,"4,136",297,357,265,299,254,257,243,247,324,247,268,274,273,271,260,"4,263",0,"1,177",999,"1,216",871,11,4,4,3,"19,061"
16-Jan-15,"3,095",84,"2,193",33,97,"2,558",87,"1,327","1,068",65,55,49,50,45,48,54,51,49,69,80,46,170,95,51,41,50,"4,131",297,357,265,299,254,257,243,247,322,247,267,273,273,271,259,"4,236",0,"1,176",999,"1,190",871,11,4,4,3,"18,920"
17-Jan-15,"3,093",84,"2,193",33,97,"2,558",87,"1,327","1,067",65,55,49,50,44,48,54,51,49,69,80,46,170,95,51,41,50,"4,131",297,357,265,299,254,257,243,247,322,247,267,273,273,271,259,"4,233",0,"1,176",998,"1,189",870,11,4,4,3,"18,914"
18-Jan-15,"3,095",78,"2,195",33,92,"2,557",87,"1,327","1,068",65,55,49,50,45,48,54,51,49,69,80,46,170,95,51,41,50,"4,130",297,357,264,299,254,257,243,247,322,247,267,273,273,271,259,"4,232",0,"1,176",998,"1,188",870,11,4,4,3,"18,905"
