Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
1-Dec-11,"3,069","3,041","3,193","2,071","1,478",82,86,82,86,82,83,72,92,90,77,58,62,192,89,91,69,85,"3,526",250,236,224,250,224,224,225,223,284,224,223,225,239,223,252,"5,117",898,"1,317",998,"1,013",891,11,4,3,4,5,8,"21,519"
2-Dec-11,"3,068","3,053","3,201","2,060","1,484",81,85,82,85,82,82,77,91,91,77,59,62,195,89,91,68,87,"3,521",250,235,224,250,224,224,225,222,284,224,223,224,236,224,252,"5,110",896,"1,320","1,000","1,004",890,11,4,3,4,5,8,"21,521"
3-Dec-11,"3,065","3,053","3,198","2,060","1,484",81,85,82,85,82,82,76,91,91,77,60,62,195,89,91,68,87,"3,515",250,233,224,249,224,224,225,221,283,224,223,224,236,224,251,"5,108",895,"1,319","1,000","1,004",890,11,4,3,4,5,8,"21,507"
4-Dec-11,"3,063","3,049","3,197","2,060","1,483",81,85,82,85,82,82,77,90,91,77,59,62,195,89,91,68,87,"3,512",250,232,222,249,224,224,225,221,283,224,223,224,236,224,251,"5,104",894,"1,318",999,"1,003",890,11,4,3,4,5,9,"21,493"
5-Dec-11,"3,074","3,069","3,189","2,049","1,479",81,86,82,85,82,81,75,89,91,77,59,63,193,89,91,68,87,"3,563",250,233,223,248,224,224,225,221,282,224,223,280,233,222,251,"5,053",838,"1,321",998,"1,004",892,11,4,3,4,5,11,"21,503"
6-Dec-11,"3,078","3,082","3,193","2,039","1,482",81,86,80,85,82,81,75,89,91,76,59,64,193,89,90,74,87,"3,625",250,235,223,248,224,224,224,224,284,224,279,280,232,223,251,"5,006",782,"1,325",998,"1,009",892,10,3,3,4,5,8,"21,528"
7-Dec-11,"3,072","3,096","3,204","2,020","1,478",80,84,84,82,82,84,77,87,88,76,59,64,192,88,91,74,86,"3,675",300,235,223,248,224,224,224,223,284,224,279,279,232,224,252,"4,957",732,"1,325",997,"1,011",892,10,3,3,4,5,7,"21,524"
8-Dec-11,"3,068","3,061","3,198","2,027","1,484",78,83,84,84,90,81,77,86,92,78,58,64,190,93,88,71,87,"3,722",298,234,224,249,223,224,225,223,284,224,280,279,231,223,301,"4,915",682,"1,325",997,"1,020",891,11,3,4,4,5,7,"21,498"
9-Dec-11,"3,058","3,085","3,208","1,997","1,480",80,84,83,83,91,81,77,88,92,78,58,64,185,91,87,71,87,"3,720",296,233,224,248,223,224,225,223,284,224,281,279,231,224,301,"4,911",681,"1,323",999,"1,018",890,11,3,4,4,5,14,"21,489"
