Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Jun-03,"5,689","3,164","2,142","2,094","1,232",68,68,68,71,67,73,73,73,73,64,58,59,142,69,66,71,69,"2,583",235,236,234,235,235,235,236,235,234,234,234,"3,375",682,983,716,994,18,6,10,2,5,80,"20,382"
2-Jun-03,"5,696","3,169","2,128","2,082","1,303",74,72,74,73,73,75,75,75,72,71,63,64,147,74,73,73,75,"2,584",235,236,234,235,234,235,236,235,236,234,234,"3,381",682,992,713,994,18,6,10,2,6,8,"20,375"
3-Jun-03,"5,715","3,147","2,145","2,091","1,294",73,73,74,75,73,73,71,75,75,70,63,62,142,74,73,73,75,"2,577",234,234,235,234,234,234,235,235,235,234,233,"3,379",682,989,715,993,18,6,10,2,6,8,"20,380"
4-Jun-03,"5,707","3,187","2,141","2,089","1,297",73,72,73,75,73,75,71,75,73,72,63,62,147,72,73,74,74,"2,573",234,234,233,233,234,233,235,235,235,232,235,"3,378",680,988,715,995,18,6,10,2,6,5,"20,401"
5-Jun-03,"5,705","3,187","2,143","2,116","1,299",72,72,74,73,73,75,69,75,81,72,62,62,145,72,73,74,75,"2,572",233,233,232,235,232,234,234,234,235,235,235,"3,371",678,985,714,994,18,6,10,2,6,3,"20,420"
6-Jun-03,"5,709","3,178","2,145","2,140","1,276",72,70,73,69,72,71,68,74,92,68,61,60,146,69,70,70,71,"2,578",233,233,233,235,235,234,235,235,235,235,235,"3,366",678,982,712,994,18,6,10,2,6,43,"20,459"
7-Jun-03,"5,709","3,177","2,145","2,140","1,276",72,70,73,69,72,71,68,74,92,68,61,60,146,69,70,70,71,"2,578",233,233,233,235,235,234,235,235,235,235,235,"3,366",678,982,712,994,18,6,10,2,6,44,"20,459"
8-Jun-03,"5,708","3,177","2,144","2,140","1,275",71,70,73,69,72,71,68,74,92,68,61,60,146,69,70,70,71,"2,576",232,233,233,234,235,234,235,235,235,235,235,"3,366",678,982,712,994,18,6,10,2,6,44,"20,454"
9-Jun-03,"5,706","3,165","2,156","2,145","1,315",73,72,74,73,74,74,75,74,92,71,62,61,147,72,74,73,74,"2,580",234,233,233,235,235,235,235,235,235,235,235,"3,379",677,992,715,995,20,6,10,4,6,6,"20,478"
10-Jun-03,"5,729","3,175","2,146","2,124","1,317",72,71,74,73,74,73,73,74,96,73,62,61,147,73,74,74,73,"2,584",234,235,233,235,238,234,235,235,235,235,235,"3,377",677,992,713,995,20,6,10,4,6,4,"20,482"
11-Jun-03,"5,712","3,171","2,156","2,121","1,327",74,71,74,75,74,73,73,74,100,75,62,59,147,73,74,74,75,"2,580",233,235,233,235,236,234,235,235,235,234,235,"3,374",676,992,711,995,19,6,10,3,6,4,"20,470"
12-Jun-03,"5,722","3,162","2,156","2,115","1,324",74,70,74,74,74,73,73,75,100,75,61,59,147,73,74,74,74,"2,582",235,235,233,235,235,235,235,235,235,234,235,"3,386",683,992,717,994,19,6,10,3,6,4,"20,476"
