date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
10-Oct-14,"3,297","2,377",34,113,"2,837","1,526","1,043",83,48,49,52,41,43,47,47,52,67,81,57,165,91,42,40,38,"4,298",297,363,276,300,279,270,267,256,339,273,277,277,276,264,284,"4,200",0,"1,187","1,000","1,212",801,5,2,1,2,0,0,"19,730"
11-Oct-14,"3,292","2,404",34,114,"2,837","1,593","1,043",83,48,49,52,41,43,47,47,52,67,81,57,165,91,42,40,38,"4,297",296,363,276,300,279,270,267,256,339,273,277,277,276,264,284,"4,199",0,"1,187","1,000","1,211",801,5,2,1,2,0,0,"19,818"
12-Oct-14,"3,290","2,405",34,112,"2,838","1,593","1,039",83,47,48,52,41,43,47,47,52,66,81,57,164,91,42,40,38,"4,296",296,363,276,300,279,270,267,256,339,273,277,277,276,263,284,"4,199",0,"1,187","1,000","1,211",801,5,2,1,2,0,0,"19,811"
13-Oct-14,"3,295","2,390",32,108,"2,818","1,591","1,060",84,47,47,52,44,47,51,48,51,67,83,56,167,95,41,40,40,"4,292",296,362,275,300,280,270,266,257,341,271,277,276,276,262,283,"4,220",0,"1,191","1,000","1,225",804,4,2,1,1,0,0,"19,810"
14-Oct-14,"3,297","2,359",34,113,"2,836","1,570","1,059",84,47,46,52,44,47,51,48,51,67,83,57,167,94,41,41,39,"4,279",294,364,275,300,276,271,268,259,340,268,279,274,273,262,276,"4,230",0,"1,188",997,"1,242",803,4,2,1,1,0,0,"19,781"
15-Oct-14,"3,292","2,310",30,111,"2,849","1,588","1,056",86,47,44,52,41,45,51,48,52,67,82,56,167,94,43,42,39,"4,298",293,368,275,299,272,273,268,260,344,270,280,277,280,263,276,"4,229",0,"1,186",999,"1,237",807,5,3,1,1,0,0,"19,768"
16-Oct-14,"3,280","2,363",34,86,"2,847","1,573","1,056",86,47,44,52,41,45,51,48,52,67,82,56,167,94,43,42,39,"4,287",293,368,275,300,271,273,267,261,339,270,280,278,278,259,275,"4,234",0,"1,185",998,"1,235",816,5,3,1,1,0,0,"19,765"
17-Oct-14,"3,273","2,359",34,86,"2,847","1,570","1,053",90,45,46,47,40,42,48,52,49,67,81,58,167,94,43,42,42,"4,284",299,369,275,300,268,270,265,259,336,270,278,278,277,262,278,"4,230",0,"1,185",997,"1,233",815,5,3,1,1,0,0,"19,741"
18-Oct-14,"3,269","2,359",32,83,"2,847","1,570","1,051",90,45,46,47,40,42,48,52,49,66,81,58,166,94,43,42,42,"4,279",299,369,275,300,268,269,264,259,336,270,278,278,277,261,276,"4,229",0,"1,185",997,"1,233",814,5,3,1,1,0,0,"19,724"
