Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution 2,882",SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,,,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
28-Nov-15,"3,267",87,"2,677",28,98,"2,708",84,"1,283","1,094",0,77,48,53,48,61,0,74,73,74,75,63,178,91,72,47,60,"3,698",0,318,269,253,258,277,259,261,316,235,265,277,209,235,266,"3,888",0,"1,113",997,892,886,12,4,6,2,"18,924"
29-Nov-15,"3,266",87,"2,679",28,96,"2,707",83,"1,283","1,094",0,77,48,53,48,61,0,74,73,74,75,63,178,91,72,47,60,"3,696",0,318,269,253,258,277,259,261,316,234,265,276,209,235,266,"3,887",0,"1,112",997,892,886,12,4,6,2,"18,918"
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0
30-Nov-15 Avg Population,"3,274",90,"2,686",27,122,"2,698",93,"1,230","1,110",21,75,49,53,46,55,0,77,71,75,70,63,176,97,76,49,58,"3,636",0,302,272,261,234,276,253,252,298,240,259,276,209,232,274,"3,911",0,"1,113",997,912,888,10,4,5,1,"18,886"
