Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"24,959"
1-May-14,"3,297","2,793",37,"3,231","1,876","1,173",89,45,51,67,53,49,44,49,64,75,86,76,198,99,45,41,42,"4,417",299,369,277,298,280,280,274,280,355,276,280,278,293,278,300,4341,"1,196",999,"1,288",858,9,2,5,2,"21,174"
2-May-14,"3,280","2,796",37,"3,220","1,916","1,171",87,44,51,68,55,49,45,47,64,74,90,76,197,101,44,40,39,"4,420",299,369,280,298,277,280,274,280,355,276,280,280,293,280,299,4357,"1,195",999,"1,286",877,9,2,5,2,"21,206"
3-May-14,"3,280","2,795",37,"3,219","1,916","1,168",87,44,51,68,55,49,45,47,64,74,89,76,195,101,44,40,39,"4,417",299,369,280,298,276,280,274,280,353,276,280,280,293,280,299,4352,"1,194",998,"1,284",876,9,2,5,2,"21,193"
4-May-14,"3,279","2,796",37,"3,217","1,916","1,166",87,44,51,68,55,49,45,47,65,73,89,75,195,101,44,40,38,"4,414",299,369,280,297,276,280,274,280,352,276,279,280,293,280,299,4350,"1,192",998,"1,284",876,9,2,5,2,"21,184"
5-May-14,"3,290","2,825",37,"3,220","1,886","1,164",86,44,51,68,56,49,45,49,64,73,88,75,194,100,44,40,38,"4,403",298,369,280,294,276,278,274,279,352,273,280,280,291,280,299,4347,"1,193",998,"1,282",874,9,2,5,2,"21,181"
6-May-14,"3,280","2,827",37,"3,217","1,844","1,163",86,43,51,68,56,49,44,50,64,72,90,75,193,99,46,39,38,"4,403",297,369,279,301,275,276,273,279,351,273,279,280,292,279,300,4347,"1,195",998,"1,271",883,9,2,5,2,"21,127"
7-May-14,"3,284","2,654",39,"3,219","2,017","1,162",87,43,51,68,56,49,42,50,64,72,90,73,194,99,46,40,38,"4,394",297,363,279,300,280,273,273,279,353,275,279,280,286,278,299,4333,"1,195",997,"1,263",878,9,2,5,2,"21,111"
8-May-14,"3,289","2,833",39,"3,214","1,841","1,168",86,43,51,68,56,49,41,50,63,77,90,73,195,101,47,40,38,"4,394",297,363,278,299,280,271,271,280,355,281,279,278,286,278,298,4335,"1,197",997,"1,263",878,9,2,5,2,"21,122"
9-May-14,"3,282","2,807",39,"3,208","1,851","1,158",85,45,46,66,57,49,40,56,62,77,86,71,194,99,46,44,35,"4,399",296,369,277,298,280,276,274,279,350,281,279,280,286,278,296,4342,"1,198",999,"1,269",876,9,2,5,2,"21,095"
10-May-14,"3,284","2,804",39,"3,207","1,851","1,156",85,45,46,66,57,49,40,56,62,77,86,69,194,99,46,44,35,"4,396",296,369,277,297,280,275,274,279,350,281,279,280,286,277,296,4342,"1,198",999,"1,269",876,9,2,5,2,"21,088"
