date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin Satellite Facility (RRD),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"6,000","1,000","1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,670"
18-Mar-20,"2,131","3,744",22,0,"2,653","1,232",772,0,0,63,164,55,0,33,0,0,0,0,55,41,75,59,147,16,14,0,50,0,"4,329",298,290,268,307,334,272,310,274,332,267,397,278,144,263,295,"3,923",849,"1,210",994,0,870,5,0,3,2,30,2,24,4,0,0,"18,841"
19-Mar-20,"2,125","3,728",22,0,"2,647","1,269",765,0,0,63,157,88,0,33,0,0,0,0,55,41,92,59,147,16,14,0,0,0,"4,322",298,289,268,307,334,272,310,272,331,267,396,278,144,262,294,"3,917",849,"1,208",993,0,867,4,0,3,1,29,1,24,4,0,0,"18,828"
20-Mar-20,"2,122","3,724",22,0,"2,647","1,275",759,0,0,63,151,88,0,33,0,0,0,0,55,41,92,59,147,16,14,0,0,0,"4,313",298,289,268,307,334,271,310,271,331,267,394,276,142,261,294,"3,916",849,"1,207",993,0,867,5,0,3,2,29,1,24,4,0,0,"18,812"
21-Mar-20,"2,122","3,723",22,0,"2,644","1,207",757,0,0,63,151,88,0,33,0,0,0,0,55,41,92,59,147,16,12,0,0,0,"4,311",298,289,267,307,334,271,310,271,330,267,394,276,142,261,294,"3,916",849,"1,207",993,0,867,5,0,3,2,29,1,24,4,0,0,"18,736"
22-Mar-20,"2,122","3,723",22,0,"2,643","1,275",756,0,0,63,150,88,0,33,0,0,0,0,55,41,92,59,147,16,12,0,0,0,"4,308",298,288,267,307,334,271,310,271,330,266,394,276,142,261,293,"3,915",849,"1,206",993,0,867,5,0,3,2,29,1,24,4,0,0,"18,798"
23-Mar-20,"2,120","3,721",22,0,"2,637","1,287",752,0,0,62,149,87,0,33,0,0,0,0,55,41,92,59,146,16,12,0,0,0,"4,305",298,289,266,307,334,271,310,269,330,266,394,276,142,260,293,"3,916",849,"1,207",993,0,867,5,0,3,2,30,2,24,4,0,0,"18,795"
24-Mar-20,"2,119","3,715",22,0,"2,632","1,296",748,0,0,62,149,87,0,33,0,0,0,0,54,41,91,57,146,16,12,0,0,0,"4,301",298,289,266,307,334,271,310,269,328,266,394,276,142,259,292,"3,914",849,"1,206",992,0,867,5,0,3,2,30,2,24,4,0,0,"18,782"
25-Mar-20,"2,111","3,701",22,0,"2,627","1,309",742,0,0,62,148,84,0,33,0,0,0,0,54,41,91,56,145,16,12,0,0,0,"4,292",297,289,266,305,334,270,311,269,325,266,393,276,141,258,292,"3,931",849,"1,204",992,0,886,5,0,3,2,30,2,24,4,0,0,"18,770"
26-Mar-20,"2,108","3,700",22,0,"2,626","1,323",737,0,0,62,146,83,0,32,0,0,0,0,54,41,91,56,144,16,12,0,0,0,"4,281",297,287,266,305,332,270,311,267,325,264,392,276,141,256,292,"3,909",849,"1,203",991,0,866,5,0,3,2,30,2,24,4,0,0,"18,741"
