Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,650","1,000","1,000","1,000",750,900,24,6,12,6,6,"21,709"
11-May-02,"5,340","2,993","2,043","1,676","1,230",68,71,67,70,71,74,69,74,73,73,73,59,109,64,69,75,71,"1,965",0,209,15,216,206,224,239,214,213,215,214,"3,586",849,498,882,512,845,16,5,9,2,6,"18,855"
12-May-02,"5,335","2,993","2,043","1,676","1,228",68,71,67,70,71,74,69,74,73,73,73,58,109,64,68,75,71,"1,965",0,209,15,216,206,224,239,214,213,215,214,"3,584",848,497,882,512,845,16,5,9,2,6,"18,846"
13-May-02,"5,329","3,033","2,028","1,670","1,278",73,75,75,72,73,75,74,74,73,74,75,59,113,72,71,75,75,"1,958",0,208,15,216,207,219,239,214,212,215,213,"3,581",848,494,882,512,845,16,5,9,2,6,"18,899"
14-May-02,"5,352","2,999","2,020","1,691","1,278",74,75,75,74,74,75,75,73,74,72,74,59,113,71,71,74,75,"1,971",0,199,55,200,207,218,239,214,212,214,213,"3,570",844,500,871,512,843,16,5,9,2,6,"18,903"
15-May-02,"5,347","2,990","2,032","1,696","1,296",74,75,75,74,74,75,75,73,74,74,74,61,122,75,72,74,75,"1,988",0,199,88,200,207,217,239,200,212,213,213,"3,569",845,500,871,510,843,16,5,9,2,6,"18,940"
16-May-02,"5,369","2,968","2,025","1,728","1,297",75,74,75,74,74,75,75,73,74,74,73,63,122,75,72,74,75,"1,989",0,199,128,200,200,216,225,200,210,212,199,"3,567",844,499,871,510,843,16,5,9,2,6,"18,965"
17-May-02,"5,362","2,969","2,068","1,712","1,236",67,71,74,69,68,69,71,71,74,68,73,60,119,72,68,69,73,"1,983",0,198,157,200,199,210,225,200,197,198,199,"3,567",844,498,870,508,847,16,6,9,1,5,"18,918"
18-May-02,"5,361","2,967","2,067","1,714","1,236",67,71,74,69,68,69,71,71,74,68,73,60,119,72,68,69,73,"1,982",0,198,157,200,199,210,225,200,196,198,199,"3,564",842,498,870,507,847,16,6,9,1,5,"18,912"
19-May-02,"5,358","2,967","2,066","1,714","1,236",67,71,74,69,68,69,71,71,74,68,73,60,119,72,68,69,73,"1,982",0,198,157,200,199,210,225,200,196,198,199,"3,564",842,498,870,507,847,16,6,9,1,5,"18,908"
20-May-02,"5,340","2,986","2,021","1,714","1,294",75,75,75,74,73,74,74,75,74,72,73,62,120,75,74,74,75,"2,034",0,200,200,200,198,212,226,199,200,199,200,"3,562",842,500,869,506,845,17,6,9,2,6,"18,974"
