date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,818",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,103"
1-Sep-16,"3,363","3,541",34,8,"2,965","1,417","1,007",0,0,68,82,59,0,0,56,18,67,82,89,74,158,8,23,65,13,79,66,0,"3,696",240,294,240,240,239,239,270,269,260,200,241,270,215,238,241,"3,306",0,"1,151",997,258,900,11,5,4,2,"19,348"
2-Sep-16,"3,372","3,507",34,18,"2,980","1,433","1,008",0,0,67,83,59,0,0,54,20,66,85,88,74,157,8,23,64,13,78,69,0,"3,693",240,293,240,240,240,239,270,269,260,199,241,269,215,239,239,"3,305",0,"1,150",998,258,899,9,5,2,2,"19,359"
3-Sep-16,"3,370","3,508",33,18,"2,979","1,433","1,005",0,0,67,83,59,0,0,53,20,66,85,88,74,157,8,22,63,13,78,69,0,"3,691",239,293,240,239,240,239,270,269,260,199,241,269,215,239,239,"3,305",0,"1,150",998,258,899,9,5,2,2,"19,351"
4-Sep-16,"3,368","3,508",33,18,"2,977","1,433","1,004",0,0,67,83,59,0,0,53,20,66,85,88,74,157,8,21,63,13,78,69,0,"3,689",239,293,240,239,240,239,270,269,259,199,241,268,215,239,239,"3,305",0,"1,150",998,258,899,9,5,2,2,"19,344"
5-Sep-16,"3,368","3,506",33,18,"2,976","1,435","1,002",0,0,67,83,59,0,0,52,20,66,85,88,74,156,8,21,63,13,78,69,0,"3,688",239,293,240,239,240,239,270,269,258,199,241,268,215,239,239,"3,304",0,"1,150",998,258,898,9,5,2,2,"19,339"
6-Sep-16,"3,356","3,519",33,17,"2,966","1,445","1,005",0,0,66,81,59,0,0,61,19,66,82,88,72,158,8,21,66,13,78,67,0,"3,666",236,291,239,238,237,240,267,266,255,198,241,267,214,239,238,"3,282",0,"1,147",996,250,889,9,5,2,2,"19,298"
7-Sep-16,"3,357","3,528",33,17,"2,962","1,430","1,002",0,0,66,83,62,0,0,61,20,65,82,88,72,159,7,20,62,12,76,67,0,"3,708",236,291,238,248,237,237,264,266,263,199,260,269,211,248,241,"3,245",0,"1,145",994,218,888,9,5,2,2,"19,291"
8-Sep-16,"3,360","3,451",35,17,"2,960","1,431",989,0,0,66,83,64,0,0,59,17,62,82,87,72,158,7,18,61,12,74,67,0,"3,816",249,293,236,257,248,251,269,268,277,198,272,271,216,259,252,"3,211",0,"1,151",998,164,898,11,5,4,2,"19,281"
9-Sep-16,"3,356","3,398",35,21,"2,969","1,445","1,009",0,0,71,82,64,0,0,61,18,66,84,87,71,156,7,18,69,12,76,67,0,"3,860",264,292,236,267,253,258,269,261,280,198,269,271,216,266,260,"3,168",0,"1,152",994,125,897,9,5,2,2,"19,270"
10-Sep-16,"3,354","3,396",35,20,"2,972","1,445","1,007",0,0,71,82,64,0,0,63,18,66,84,87,71,156,7,18,68,12,74,66,0,"3,858",263,292,236,267,253,258,269,261,280,197,269,271,216,266,260,"3,167",0,"1,152",994,125,896,11,5,4,2,"19,265"
