Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
19-Jun-16,"3,361","3,062",33,9,"3,000","1,518","1,102",0,21,68,86,67,0,0,67,17,94,84,86,86,162,27,58,13,100,66,0,"3,500",240,293,238,240,200,200,268,269,257,198,204,239,220,198,236,"3,865",0,"1,089",996,882,898,15,6,6,3,"19,465"
20-Jun-16,"3,362","3,115",33,8,"2,998","1,515","1,132",0,21,71,87,75,0,0,65,18,96,91,89,85,165,30,57,16,100,66,0,"3,500",239,295,237,240,200,200,267,268,259,197,204,239,220,197,238,"3,859",0,"1,091",996,875,897,15,6,6,3,"19,537"
21-Jun-16,"3,352","3,124",34,8,"3,001","1,491","1,131",0,19,71,87,75,0,0,65,19,92,91,89,84,171,30,57,15,101,65,0,"3,511",239,293,240,240,201,200,270,269,260,200,204,240,218,199,238,"3,854",0,"1,091",995,873,895,15,6,6,3,"19,521"
22-Jun-16,"3,357","3,118",34,9,"3,001","1,485","1,149",0,19,70,87,74,0,0,72,19,97,90,88,83,171,29,70,15,100,65,0,"3,507",238,293,240,240,200,200,270,269,260,199,204,239,218,200,237,"3,853",0,"1,091",995,872,895,15,6,6,3,"19,528"
23-Jun-16,"3,378","3,084",34,7,"2,996","1,524","1,154",0,19,70,87,73,0,0,72,19,96,90,90,83,172,29,70,15,99,70,0,"3,512",239,292,240,240,200,200,269,269,260,198,204,239,225,200,237,"3,857",0,"1,091",995,871,900,15,6,6,3,"19,561"
24-Jun-16,"3,381","3,084",34,12,"2,987","1,531","1,134",0,19,69,86,74,0,0,72,17,95,86,88,81,166,28,70,14,99,70,0,"3,514",239,291,240,240,200,200,270,270,259,200,204,240,226,199,236,"3,861",0,"1,091","1,001",868,901,15,6,6,3,"19,553"
25-Jun-16,"3,380","3,082",33,12,"2,986","1,531","1,130",0,18,69,86,74,0,0,71,17,95,86,87,81,166,28,69,14,99,70,0,"3,512",239,291,240,240,200,200,270,269,259,200,204,240,226,198,236,"3,860",0,"1,091","1,001",868,900,15,6,6,3,"19,541"
26-Jun-16,"3,379","3,081",33,12,"2,984","1,531","1,127",0,18,69,86,74,0,0,71,17,95,86,87,81,165,28,67,14,99,70,0,"3,510",239,291,240,239,200,200,270,269,258,200,204,240,226,198,236,"3,860",0,"1,091","1,001",868,900,15,6,6,3,"19,532"
27-Jun-16,"3,385","3,075",33,12,"2,990","1,572","1,149",0,18,69,93,73,0,0,71,17,96,90,91,81,173,28,67,15,97,70,0,"3,498",239,288,240,238,199,199,270,269,257,199,204,240,225,199,232,"3,854",0,"1,088","1,000",866,900,15,6,6,3,"19,583"
