date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
1-Jul-16,"3,404","3,045",33,6,"2,999","1,535","1,143",0,15,66,95,71,0,0,73,16,96,89,91,84,170,31,66,15,95,70,0,"3,512",239,293,240,239,197,200,270,270,260,199,200,240,227,199,239,"3,877",0,"1,145","1,000",838,894,17,6,6,5,"19,571"
2-Jul-16,"3,403","3,045",33,6,"2,998","1,535","1,141",0,15,66,95,71,0,0,71,16,96,89,91,84,170,31,66,15,95,70,0,"3,512",239,293,240,239,197,200,270,270,260,199,200,240,227,199,239,"3,877",0,"1,145","1,000",838,894,17,6,6,5,"19,567"
3-Jul-16,"3,401","3,045",33,6,"2,997","1,535","1,139",0,15,66,95,71,0,0,71,16,96,89,91,83,170,30,66,15,95,70,0,"3,512",239,293,240,239,197,200,270,270,260,199,200,240,227,199,239,"3,876",0,"1,144","1,000",838,894,17,6,6,5,"19,561"
4-Jul-16,"3,396","3,044",33,6,"2,996","1,535","1,135",0,15,66,94,71,0,0,68,16,95,89,91,84,170,30,66,15,95,70,0,"3,511",239,293,240,239,197,200,270,270,259,199,200,240,227,199,239,"3,876",0,"1,144","1,000",838,894,17,6,6,5,"19,549"
5-Jul-16,"3,394","3,073",33,6,"2,985","1,548","1,118",0,15,63,93,72,0,0,67,16,93,88,90,83,169,28,64,15,93,69,0,"3,497",238,292,238,238,196,199,268,268,258,198,201,240,227,199,237,"3,866",0,"1,143",999,834,890,17,6,6,5,"19,537"
6-Jul-16,"3,388","3,071",33,6,"2,989","1,564","1,119",0,15,63,94,72,0,0,67,16,93,88,90,84,173,28,62,15,92,67,0,"3,505",239,294,239,240,200,200,270,268,260,200,201,240,224,190,240,"3,864",0,"1,144",999,832,889,16,5,6,5,"19,555"
7-Jul-16,"3,390","3,092",33,6,"2,993","1,561","1,112",0,0,71,94,72,0,0,64,16,97,88,90,84,172,27,62,15,94,66,0,"3,507",239,293,240,240,202,200,270,269,260,200,200,240,224,190,240,"3,872",0,"1,143",999,831,899,16,5,6,5,"19,582"
8-Jul-16,"3,402","3,090",33,8,"2,992","1,566","1,103",0,0,68,91,70,0,0,64,19,90,81,89,91,170,27,65,16,94,68,0,"3,507",239,293,239,240,201,197,268,270,260,199,200,240,222,199,240,"3,869",0,"1,141",999,830,899,13,4,5,4,"19,583"
9-Jul-16,"3,400","3,088",33,8,"2,990","1,566","1,100",0,0,68,91,70,0,0,62,19,90,81,89,91,170,27,64,16,94,68,0,"3,507",239,293,239,240,201,197,268,270,260,199,200,240,222,199,240,"3,870",0,"1,142",999,830,899,13,4,5,4,"19,575"
