Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,650","1,000","1,000","1,000",750,900,24,6,12,6,6,"21,709"
21-May-02,"5,356","2,953","2,036","1,752","1,295",75,75,75,74,73,74,73,75,74,72,75,62,120,75,74,74,75,"2,029",0,198,199,200,197,211,226,200,200,199,199,"3,562",842,500,869,506,845,17,6,9,2,6,"19,006"
22-May-02,"5,346","2,994","2,032","1,738","1,290",74,74,75,73,73,74,73,75,74,73,75,62,120,74,73,74,74,"2,024",0,200,199,200,192,211,225,200,199,199,199,"3,565",845,500,869,506,845,16,6,8,2,6,"19,011"
23-May-02,"5,362","2,971","2,031","1,771","1,278",71,74,75,72,72,74,73,75,74,71,74,58,120,74,73,74,74,"2,028",0,200,199,200,196,211,225,200,199,199,199,"3,563",844,499,868,507,845,16,6,8,2,6,"19,026"
24-May-02,"5,359","2,978","2,047","1,771","1,274",71,74,74,73,71,74,72,74,74,72,73,58,120,74,73,74,73,"2,033",0,200,200,200,200,210,225,200,200,199,199,"3,565",841,498,870,507,849,16,6,8,2,6,"19,049"
25-May-02,"5,359","2,980","2,046","1,755","1,273",71,74,74,73,71,74,71,74,74,72,73,58,120,74,73,74,73,"2,033",0,200,200,200,200,210,225,200,200,199,199,"3,566",842,498,870,507,849,16,6,8,2,6,"19,034"
26-May-02,"5,359","2,978","2,046","1,755","1,274",71,74,74,73,71,74,72,74,74,72,73,58,120,74,73,74,73,"2,033",0,200,200,200,200,210,225,200,200,199,199,"3,566",842,498,870,507,849,16,6,8,2,6,"19,033"
27-May-02,"5,358","2,977","2,044","1,755","1,273",71,74,73,73,71,74,72,74,74,72,73,58,120,74,73,74,73,"2,033",0,200,200,200,200,210,225,200,200,199,199,"3,565",842,498,870,506,849,16,6,8,2,6,"19,027"
28-May-02,"5,365","2,976","2,040","1,759","1,270",69,73,73,73,71,74,71,73,75,73,72,58,121,74,73,74,73,"2,035",0,200,200,200,200,212,225,200,200,200,198,"3,565",843,498,869,506,849,16,6,8,2,6,"19,032"
29-May-02,"5,369","2,974","2,064","1,775","1,272",69,73,72,73,75,74,71,73,75,73,70,58,121,75,73,74,73,"2,030",0,198,200,199,200,212,224,200,199,200,198,"3,562",843,498,868,506,847,16,6,8,2,6,"19,068"
30-May-02,"5,338","2,953","2,062","1,775","1,279",75,72,72,73,72,74,75,73,75,73,69,57,126,74,71,73,75,"2,027",0,197,200,199,199,211,225,200,198,199,199,"3,558",843,500,862,507,846,16,6,8,2,6,"19,014"
31-May-02,"5,326","2,961","2,049","1,751","1,227",67,70,73,68,68,68,71,71,73,65,75,55,126,72,68,69,68,"2,035",0,199,200,200,200,212,225,200,198,200,201,"3,588",842,500,868,508,870,16,6,8,2,6,"18,959"
