Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
1-Sep-01,"5,218","3,008","1,988","1,559","1,228",73,72,74,75,71,74,74,75,74,75,48,43,110,71,74,75,70,"2,038",210,196,200,198,211,222,199,200,202,200,"3,493",833,497,865,408,890,15,6,8,1,6,"18,553"
2-Sep-01,"5,217","3,008","1,988","1,559","1,228",73,72,74,75,71,74,74,75,74,75,48,43,110,71,74,75,70,"2,036",209,196,200,198,211,222,199,199,202,200,"3,493",833,497,865,408,890,15,6,8,1,6,"18,550"
3-Sep-01,"5,217","3,007","1,988","1,559","1,228",73,72,74,75,71,74,74,75,74,75,48,43,110,71,74,75,70,"2,036",209,196,200,198,211,222,199,199,202,200,"3,492",833,496,865,408,890,15,6,8,1,5,"18,547"
4-Sep-01,"5,207","3,009","2,005","1,555","1,227",73,70,74,75,75,73,74,75,74,75,48,43,110,71,74,74,69,"2,031",209,196,198,198,211,221,198,198,202,200,"3,487",831,496,863,408,889,15,6,8,1,5,"18,541"
5-Sep-01,"5,221","3,019","2,007","1,548","1,226",73,70,74,75,75,71,74,75,74,75,48,43,110,71,74,75,69,"2,022",208,195,198,198,210,221,197,197,198,200,"3,490",831,496,862,412,889,15,6,8,1,5,"18,553"
6-Sep-01,"5,217","3,052","1,983","1,500","1,230",73,68,74,71,74,74,73,75,74,74,47,53,108,71,73,75,73,"2,032",208,199,198,195,210,225,197,199,201,200,"3,505",841,496,870,411,887,15,6,8,1,5,"18,539"
7-Sep-01,"5,206","3,047","1,978","1,512","1,210",69,67,71,69,73,71,70,75,74,70,55,53,105,70,72,74,72,"2,036",207,202,200,195,210,225,197,199,201,200,"3,513",842,500,869,415,887,15,6,8,1,6,"18,523"
8-Sep-01,"5,203","3,048","1,978","1,515","1,209",69,67,71,69,73,71,70,75,74,70,55,53,105,70,72,73,72,"2,036",208,202,200,195,210,225,196,199,201,200,"3,513",842,500,869,415,887,15,6,8,1,6,"18,523"
9-Sep-01,"5,204","3,047","1,977","1,513","1,208",67,67,71,69,73,71,70,75,74,70,55,53,105,70,72,74,72,"2,036",208,202,200,195,210,225,196,199,201,200,"3,514",843,500,870,415,886,15,6,8,1,6,"18,520"
10-Sep-01,"5,202","3,039","1,996","1,517","1,242",71,73,74,71,71,75,74,75,74,74,56,52,108,71,73,75,75,"2,030",207,202,200,194,210,225,195,198,201,198,"3,513",843,499,870,415,886,16,6,9,1,6,"18,561"
