date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
10-Dec-15,"3,292",61,"2,783",30,19,"2,702",53,"1,268","1,161",0,55,68,57,74,44,0,73,77,90,83,63,174,0,93,83,63,64,"3,697",0,329,264,250,250,275,254,253,312,245,262,274,211,250,268,"3,902",0,"1,123",997,900,882,12,4,6,2,"18,980"
11-Dec-15,"3,308",59,"2,742",29,19,"2,683",52,"1,233","1,134",0,52,67,56,70,48,0,71,75,89,79,61,175,0,86,83,61,61,"3,794",0,328,272,260,276,275,250,261,323,252,279,279,219,250,270,"3,888",0,"1,120",996,895,877,12,4,6,2,"18,953"
12-Dec-15,"3,310",49,"2,742",29,19,"2,681",51,"1,233","1,134",0,52,67,56,70,48,0,71,75,89,79,61,175,0,86,83,61,61,"3,793",0,328,272,260,276,275,250,260,323,252,279,279,219,250,270,"3,886",0,"1,119",997,893,877,12,4,6,2,"18,939"
13-Dec-15,"3,306",49,"2,741",29,19,"2,679",50,"1,233","1,134",0,52,67,56,70,48,0,71,75,89,79,61,175,0,86,83,61,61,"3,792",0,328,272,260,276,275,250,259,323,252,279,279,219,250,270,"3,886",0,"1,119",997,893,877,12,4,6,2,"18,930"
14-Dec-15,"3,304",47,"2,762",29,20,"2,704",44,"1,223","1,123",0,52,66,55,69,48,0,64,75,89,79,61,175,0,85,83,60,62,"3,794",0,328,272,258,276,274,250,260,326,254,279,278,218,251,270,"3,887",0,"1,120",996,893,878,12,4,6,2,"18,949"
15-Dec-15,"3,309",43,"2,766",29,18,"2,707",42,"1,195","1,117",0,52,66,55,69,48,0,52,78,89,82,65,172,0,84,83,60,62,"3,817",0,334,272,258,274,274,250,263,331,258,279,279,218,251,276,"3,878",0,"1,125",994,882,877,12,4,6,2,"18,933"
16-Dec-15,"3,309",39,"2,804",28,17,"2,711",36,"1,165","1,115",0,52,65,55,67,48,0,49,78,91,82,65,174,0,84,83,60,62,"3,813",0,335,272,258,274,268,250,263,331,258,280,279,218,251,276,"3,881",0,"1,127",997,881,876,12,4,6,2,"18,930"
17-Dec-15,"3,303",39,"2,750",28,16,"2,711",35,"1,156","1,117",0,52,68,55,67,48,0,55,76,88,81,65,174,0,86,83,58,61,"3,835",0,343,272,258,275,268,249,261,330,266,282,279,219,257,276,"3,913",0,"1,145",997,895,876,12,4,6,2,"18,915"
18-Dec-15,"3,297",39,"2,749",28,16,"2,703",36,"1,149","1,118",0,52,67,56,68,52,0,54,76,88,79,65,174,0,85,83,58,61,"3,843",0,337,272,258,272,268,246,271,329,273,278,279,218,267,275,"3,921",0,"1,145",996,905,875,12,4,6,2,"18,911"
