Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
1-Sep-02,"5,094","2,930","2,006","1,938","1,299",75,71,75,75,74,74,75,70,75,72,70,62,139,70,72,75,75,"2,012",0,202,201,201,201,201,202,199,202,202,201,"4,002",792,731,985,506,988,13,4,8,1,5,"19,299"
2-Sep-02,"5,091","2,931","2,006","1,940","1,299",75,71,75,75,74,74,75,70,75,72,70,62,139,70,72,75,75,"2,011",0,202,201,201,201,201,202,199,201,202,201,"4,001",792,731,985,506,987,13,4,8,1,5,"19,297"
3-Sep-02,"5,111","2,929","1,999","1,921","1,287",74,70,74,73,73,73,75,71,75,73,68,62,137,67,72,75,75,"2,009",0,201,201,201,200,201,202,202,198,202,201,"3,995",791,730,984,505,985,13,4,8,1,5,"19,269"
4-Sep-02,"5,095","2,923","2,000","1,951","1,290",74,70,74,75,72,72,75,73,75,71,69,61,136,71,72,75,75,"2,011",0,201,201,200,201,201,202,202,201,201,201,"3,992",791,730,984,505,982,13,4,8,1,5,"19,280"
5-Sep-02,"5,127","2,901","1,992","1,941","1,289",74,69,74,75,71,75,75,73,75,71,69,60,136,70,72,75,75,"2,011",0,201,201,200,201,201,202,202,201,201,201,"3,991",791,730,984,503,983,13,4,8,1,5,"19,270"
6-Sep-02,"5,132","2,864","2,015","1,954","1,248",71,62,72,75,70,75,75,71,74,66,69,60,130,66,66,73,73,"2,013",0,201,202,202,200,201,202,202,201,201,201,"3,987",790,730,983,502,982,13,4,8,1,5,"19,231"
7-Sep-02,"5,130","2,865","2,015","1,954","1,247",71,62,72,75,70,75,75,71,74,66,69,60,130,66,66,73,72,"2,015",0,201,202,202,200,201,202,202,202,202,201,"3,985",790,729,983,502,981,13,4,8,1,5,"19,229"
8-Sep-02,"5,126","2,866","2,014","1,954","1,247",71,62,72,75,70,75,74,71,74,66,69,60,130,66,66,73,73,"2,015",0,201,202,202,200,201,202,202,202,202,201,"3,985",790,729,983,502,981,13,4,8,1,5,"19,225"
9-Sep-02,"5,177","2,858","1,999","1,973","1,301",73,73,73,74,74,74,73,72,75,71,73,70,135,69,72,75,75,"2,010",0,200,200,201,200,201,202,202,200,203,201,"3,931",691,729,988,545,978,13,4,8,1,5,"19,267"
10-Sep-02,"5,233","2,837","1,998","2,009","1,303",74,73,75,74,73,75,73,72,74,70,73,71,135,69,72,75,75,"2,009",0,200,201,201,200,201,202,202,201,200,201,"3,888",648,726,987,551,976,13,4,8,1,5,"19,295"
