Area,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,858",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,143"
17-Nov-16,"3,289","3,278",31,19,"2,975","1,199",928,0,0,68,78,49,0,0,57,14,74,70,86,57,151,3,19,63,13,62,64,0,"4,199",299,293,270,309,276,280,272,277,339,192,277,324,219,279,293,"3,060",0,"1,162",998,0,900,12,5,5,2,"18,990"
18-Nov-16,"3,285","3,245",32,20,"2,969","1,184",933,0,0,68,78,49,0,0,64,14,73,70,85,57,149,3,20,64,13,62,64,0,"4,232",299,294,271,310,278,277,272,279,350,195,280,324,229,278,296,"3,058",0,"1,160",998,0,900,13,5,6,2,"18,971"
19-Nov-16,"3,284","3,248",32,20,"2,969","1,184",930,0,0,68,78,49,0,0,63,14,73,70,85,56,148,3,20,64,13,62,64,0,"4,229",299,293,270,309,278,277,272,279,350,195,280,324,229,278,296,"3,057",0,"1,159",998,0,900,13,5,6,2,"18,966"
20-Nov-16,"3,284","3,249",32,20,"2,969","1,184",921,0,0,68,78,49,0,0,56,13,73,70,85,56,148,3,20,63,13,62,64,0,"4,226",299,293,270,309,278,276,271,279,350,195,279,324,229,278,296,"3,058",0,"1,160",998,0,900,13,5,6,2,"18,956"
21-Nov-16,"3,354","3,219",32,23,"2,970","1,185",916,0,0,68,78,50,0,0,51,13,73,70,84,57,149,3,19,62,13,62,64,0,"4,181",299,282,256,309,277,264,258,276,351,195,279,327,229,277,302,"3,049",0,"1,155",996,0,898,13,5,6,2,"18,942"
22-Nov-16,"3,386","3,266",32,8,"2,978","1,147",914,0,0,68,78,50,0,0,48,13,72,70,84,57,150,3,19,60,13,65,64,0,"4,149",275,282,256,309,272,264,256,274,351,199,279,327,229,279,297,"3,052",0,"1,155",998,0,899,13,5,6,2,"18,945"
23-Nov-16,"3,373","3,246",32,4,"2,980","1,179",906,0,0,68,78,50,0,0,45,12,73,69,84,58,150,3,17,58,12,65,64,0,"4,146",275,282,254,310,270,264,254,277,352,200,278,327,229,276,298,"3,046",0,"1,154",997,0,895,13,5,6,2,"18,925"
