date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
10-Apr-15,"3,142",91,"2,341",25,131,"2,392",86,"1,549","1,047",57,45,49,60,41,53,42,41,47,57,85,60,178,93,46,48,45,"4,193",299,351,275,296,259,275,257,261,335,254,270,276,247,256,282,"4,007",0,"1,151",988,964,904,6,2,2,2,"19,010"
11-Apr-15,"3,142",91,"2,341",25,131,"2,391",85,"1,548","1,044",57,45,49,60,41,53,42,41,47,57,85,60,178,93,45,47,44,"4,190",299,351,275,296,259,275,257,261,335,254,270,276,246,255,281,"4,007",0,"1,151",988,964,904,6,2,2,2,"19,001"
12-Apr-15,"3,142",91,"2,341",25,131,"2,390",84,"1,547","1,041",57,45,49,60,41,53,42,41,47,57,85,60,178,93,44,46,43,"4,186",299,351,275,296,259,275,257,261,335,254,270,275,245,254,280,"4,004",0,"1,151",987,963,903,7,2,2,3,"18,989"
13-Apr-15,"3,146",88,"2,380",26,123,"2,428",95,"1,484","1,032",52,46,48,58,39,52,44,43,42,61,86,58,180,84,43,52,44,"4,181",300,357,275,300,254,263,252,260,331,253,267,275,245,260,289,"3,986",0,"1,148",994,953,891,9,4,3,2,"18,978"
14-Apr-15,"3,147",96,"2,375",26,127,"2,440",97,"1,463","1,025",51,46,49,59,37,52,48,44,43,60,84,57,180,83,40,50,42,"4,173",300,359,275,299,259,262,252,262,320,253,267,273,245,260,287,"3,989",0,"1,149",999,950,891,10,5,3,2,"18,968"
15-Apr-15,"3,152",94,"2,410",26,125,"2,441",97,"1,473","1,016",51,45,49,58,37,52,48,44,42,60,82,53,180,83,39,50,43,"4,182",300,357,274,298,261,267,251,264,320,255,267,274,245,263,286,"3,982",0,"1,144",998,950,890,10,5,3,2,"19,008"
16-Apr-15,"3,153",92,"2,437",26,126,"2,432",93,"1,447","1,025",51,45,51,57,42,49,48,43,42,62,83,52,181,87,39,50,43,"4,186",299,356,274,298,262,266,251,259,322,256,270,277,248,262,286,"3,980",0,"1,141",998,948,893,10,5,3,2,"19,007"
17-Apr-15,"3,153",91,"2,415",24,123,"2,434",90,"1,464","1,014",51,45,48,58,42,49,45,43,42,61,81,52,178,88,38,50,43,"4,186",298,352,273,300,263,264,257,259,318,264,269,277,248,259,285,"3,984",0,"1,141",997,954,892,9,4,3,2,"18,987"
18-Apr-15,"3,152",90,"2,415",24,121,"2,436",89,"1,464","1,011",51,45,48,58,42,48,45,43,42,61,81,51,178,88,38,50,42,"4,184",298,352,272,299,263,264,257,259,318,264,269,277,248,259,285,"3,985",0,"1,141",998,954,892,9,4,3,2,"18,980"
