Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
10-Jun-13,"3,390","3,356",31,"3,216","2,326","1,549",92,57,78,65,93,89,62,91,91,78,90,91,238,98,88,75,73,"4,417",300,367,280,298,279,279,272,280,355,277,280,278,297,276,299,"4,305",0,"1,124",998,"1,294",889,11,4,4,3,0,0,"22,601"
11-Jun-13,"3,393","3,333",31,"3,229","2,341","1,536",91,57,77,54,92,88,62,91,89,78,90,90,243,98,88,75,73,"4,431",300,369,279,300,280,279,274,281,355,279,280,278,300,278,299,"4,308",0,"1,124",998,"1,297",889,10,3,4,3,0,0,"22,612"
12-Jun-13,"3,386","3,352",32,"3,222","2,333","1,541",91,57,82,54,94,88,62,90,89,76,90,91,244,98,87,75,73,"4,431",300,369,279,298,280,279,274,281,354,278,280,280,300,279,300,"4,308",0,"1,126",999,"1,294",889,10,3,4,3,0,0,"22,615"
13-Jun-13,"3,387","3,353",32,"3,218","2,380","1,539",92,57,81,54,94,88,62,90,88,75,90,91,245,99,87,73,73,"4,429",299,369,280,297,280,279,274,281,355,278,280,280,299,279,299,"4,309",0,"1,126",998,"1,297",888,11,4,4,3,0,0,"22,658"
14-Jun-13,"3,392","3,347",32,"3,217","2,406","1,508",92,52,75,52,94,86,62,89,87,72,92,90,237,96,87,73,72,"4,428",299,369,278,300,280,280,274,280,355,276,280,280,299,279,299,"4,310",0,"1,126",997,"1,295",892,11,4,4,3,0,0,"22,651"
15-Jun-13,"3,387","3,347",32,"3,216","2,404","1,507",92,52,74,52,94,86,62,89,87,72,92,90,237,96,87,73,72,"4,422",299,369,278,300,279,280,273,278,355,276,280,280,298,279,298,"4,306",0,"1,126",996,"1,292",892,10,3,4,3,0,0,"22,631"
16-Jun-13,"3,385","3,345",32,"3,211","2,404","1,506",92,52,73,52,94,86,62,89,87,72,92,90,237,96,87,73,72,"4,419",299,369,278,300,279,280,272,278,355,276,278,280,298,279,298,"4,304",0,"1,125",996,"1,291",892,9,2,4,3,0,0,"22,615"
17-Jun-13,"3,389","3,352",31,"3,217","2,385","1,526",92,57,79,54,94,87,62,90,88,75,91,90,238,97,86,73,73,"4,433",298,369,280,300,279,280,274,278,355,281,279,280,300,280,300,"4,306",0,"1,125",996,"1,292",893,9,2,4,3,0,0,"22,648"
18-Jun-13,"3,393","3,354",32,"3,202","2,337","1,522",91,57,78,65,92,85,60,89,88,73,93,89,237,99,83,73,70,"4,426",298,369,280,298,279,280,274,278,355,280,280,280,297,278,300,"4,310",0,"1,125",996,"1,296",893,10,3,4,3,0,0,"22,586"
