Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,135","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,807"
11-Jun-02,"5,375","2,972","2,058","1,771","1,287",73,72,75,75,74,75,74,72,75,71,74,65,123,71,71,74,73,"2,034",0,201,199,200,199,211,226,200,197,201,200,"3,609",846,499,874,517,873,16,6,8,2,6,"19,128"
12-Jun-02,"5,370","2,969","2,064","1,790","1,292",73,72,75,75,74,75,74,72,74,71,74,71,123,71,71,74,73,"2,034",0,201,199,199,198,211,227,200,198,201,200,"3,606",844,500,872,517,873,17,6,9,2,6,"19,148"
13-Jun-02,"5,375","2,959","2,062","1,823","1,301",73,74,75,75,74,75,73,75,75,71,74,71,123,71,73,74,75,"2,038",0,201,199,200,198,213,227,201,198,201,200,"3,605",843,500,872,517,873,17,6,9,2,6,"19,186"
14-Jun-02,"5,362","2,956","2,044","1,858","1,253",70,73,71,73,73,68,66,73,73,69,74,71,123,66,65,73,72,"2,044",0,201,201,200,200,213,226,203,202,198,200,"3,602",843,500,871,515,873,17,6,9,2,6,"19,142"
15-Jun-02,"5,360","2,954","2,044","1,861","1,252",70,73,71,73,72,68,66,73,73,69,74,71,123,66,65,73,72,"2,043",0,201,200,200,200,213,226,203,202,198,200,"3,600",843,500,871,513,873,17,6,9,2,6,"19,137"
16-Jun-02,"5,361","2,954","2,044","1,861","1,250",70,73,70,73,73,68,66,73,73,69,74,69,123,66,65,73,72,"2,042",0,201,200,200,200,213,226,202,202,198,200,"3,600",843,500,871,513,873,17,6,9,2,6,"19,135"
17-Jun-02,"5,346","2,980","2,026","1,876","1,290",72,74,74,74,74,74,75,74,74,71,74,70,123,72,72,71,72,"2,041",0,201,199,200,199,213,228,200,202,198,201,"3,604",843,500,871,513,877,17,6,9,2,6,"19,186"
18-Jun-02,"5,377","2,978","2,023","1,889","1,290",72,75,74,74,74,74,75,74,72,71,73,70,123,72,71,71,75,"2,038",0,201,199,200,199,213,226,200,202,197,201,"3,600",843,500,869,512,876,17,6,9,2,6,"19,218"
19-Jun-02,"5,371","2,978","2,039","1,900","1,285",72,75,74,74,74,74,75,74,71,68,73,67,125,75,74,70,70,"2,037",0,200,200,199,200,213,225,199,202,200,199,"3,600",841,500,871,512,876,17,6,9,2,6,"19,233"
20-Jun-02,"5,386","2,992","2,027","1,875","1,284",74,75,74,74,73,74,75,74,69,72,71,66,125,75,74,70,69,"2,040",0,200,200,200,199,213,227,198,202,200,201,"3,602",843,499,870,509,881,16,5,9,2,6,"19,228"
