date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,610","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,224"
19-Apr-11,"3,221","3,216","3,176","1,790","1,488",85,75,82,92,80,87,71,84,94,86,84,71,184,93,70,58,92,"3,028",235,223,250,224,224,219,223,284,225,223,223,223,252,"5,098",904,"1,344",924,"1,041",885,7,3,4,0,5,6,"21,035"
20-Apr-11,"3,238","3,225","3,168","1,803","1,475",85,75,82,92,83,87,70,83,93,86,82,61,184,94,70,58,90,"3,026",234,223,249,223,224,219,223,283,225,224,224,223,252,"5,104",908,"1,343",924,"1,044",885,7,3,4,0,5,8,"21,059"
21-Apr-11,"3,233","3,229","3,142","1,834","1,495",84,74,86,92,83,91,70,83,92,86,82,65,188,94,67,68,90,"3,023",234,225,248,218,223,219,222,284,224,223,224,224,255,"5,104",906,"1,347",923,"1,041",887,7,3,4,0,5,9,"21,081"
22-Apr-11,"3,235","3,207","3,155","1,835","1,515",82,74,83,98,83,90,75,82,94,84,82,65,186,92,76,71,98,"3,003",232,223,248,223,224,214,217,284,224,224,224,222,244,"5,066",901,"1,352",914,"1,014",885,7,3,4,0,5,26,"21,054"
23-Apr-11,"3,234","3,204","3,158","1,835","1,511",82,74,80,98,82,90,75,82,94,84,82,65,186,92,76,71,98,"3,002",232,223,248,223,224,213,217,284,224,224,224,222,244,"5,064",901,"1,351",914,"1,013",885,7,3,4,0,5,29,"21,049"
24-Apr-11,"3,232","3,205","3,158","1,835","1,507",82,74,80,98,81,89,74,82,94,84,82,65,186,92,76,71,97,"3,000",232,223,248,223,223,213,217,284,224,224,223,222,244,"5,061",900,"1,351",914,"1,011",885,7,3,4,0,5,29,"21,039"
25-Apr-11,"3,230","3,208","3,157","1,841","1,519",84,74,81,98,81,91,77,83,97,84,82,64,185,93,77,71,97,"2,996",232,223,248,223,223,213,216,284,224,224,222,221,243,"5,057",900,"1,348",914,"1,010",885,7,3,4,0,5,11,"21,031"
26-Apr-11,"3,229","3,220","3,161","1,834","1,503",84,71,79,98,80,89,75,83,96,84,82,63,185,93,77,70,94,"3,011",233,223,247,223,224,213,225,284,223,223,222,221,250,"5,054",899,"1,348",914,"1,008",885,7,3,4,0,5,5,"21,029"
27-Apr-11,"3,227","3,225","3,165","1,819","1,499",84,70,78,98,80,89,73,83,96,84,82,63,185,93,77,70,94,"3,018",233,224,250,224,224,212,225,283,223,223,224,223,250,"5,070",904,"1,345",912,"1,021",888,7,3,4,0,5,7,"21,042"
