Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
28-Mar-16,"3,372","2,865",27,7,"2,880","1,538","1,187",0,30,73,76,71,42,0,20,75,93,89,89,89,173,24,7,64,98,74,0,"3,420",237,294,240,238,200,199,239,239,257,200,202,199,238,198,240,"3,947",0,"1,126",997,929,895,11,4,5,2,"19,254"
29-Mar-16,"3,367","2,866",27,6,"2,890","1,510","1,171",0,30,72,75,71,42,0,20,75,92,87,87,88,170,25,7,62,95,73,0,"3,421",240,293,239,240,198,200,239,238,260,200,201,200,235,199,239,"3,956",0,"1,126",997,934,899,12,4,6,2,"19,226"
30-Mar-16,"3,367","2,894",31,6,"2,880","1,494","1,168",0,30,71,80,70,42,0,20,74,91,87,87,88,170,25,7,61,94,71,0,"3,419",240,293,239,240,199,200,239,237,260,199,201,200,234,199,239,"3,953",0,"1,125",997,933,898,12,4,6,2,"19,224"
,"3,361","2,832",32,6,"2,925","1,480","1,172",0,30,71,81,70,41,0,20,74,90,90,87,87,176,25,7,62,93,68,0,"3,423",240,293,240,240,200,199,240,237,259,198,201,200,236,199,241,"3,949",0,"1,125",996,932,896,12,4,6,2,"19,192"
31-Mar-16 Avg Population,"3,376","2,861",29,5,"2,819","1,515","1,174",0,32,72,79,70,39,0,20,62,96,90,85,87,173,25,8,70,95,70,1,"3,416",238,294,239,239,199,199,238,238,257,198,200,200,239,198,239,"3,951",0,"1,129",997,932,893,12,4,6,2,"19,158"
