date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,256","1,668","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,442"
10-Jan-12,"3,186","3,058","3,154","1,941","1,419",79,82,76,80,86,86,72,88,88,77,47,55,183,84,84,68,84,"4,252",295,284,280,289,279,280,274,280,339,280,280,280,233,280,299,"4,323",115,"1,327",997,993,891,8,3,2,3,0,6,"21,347"
11-Jan-12,"3,249","3,064","3,159","1,923","1,424",79,81,75,79,86,85,72,88,92,76,47,55,186,84,84,68,87,"4,278",299,294,280,300,280,280,274,280,340,280,280,280,233,279,299,"4,236",35,"1,327",999,985,890,9,3,2,4,0,6,"21,348"
12-Jan-12,"3,292","3,065","3,155","1,916","1,440",80,80,81,80,83,84,75,88,91,79,47,54,186,93,84,68,87,"4,277",298,294,280,300,280,280,274,280,340,280,280,280,232,279,300,"4,197",0,"1,326",999,983,889,9,3,2,4,0,7,"21,358"
13-Jan-12,"3,286","3,089","3,160","1,878","1,378",80,77,77,70,77,78,72,84,89,69,51,54,182,86,85,65,82,"4,278",300,294,280,297,280,280,274,281,339,281,280,281,231,280,300,"4,194",0,"1,324",999,982,889,9,2,3,4,0,80,"21,352"
14-Jan-12,"3,282","3,086","3,158","1,878","1,375",79,76,77,70,77,78,72,84,89,69,51,53,182,86,85,65,82,"4,277",300,294,280,297,280,280,274,281,338,281,280,281,231,280,300,"4,189",0,"1,322",999,981,887,9,2,3,4,0,78,"21,332"
15-Jan-12,"3,281","3,086","3,155","1,878","1,376",79,76,77,70,77,78,72,84,89,69,51,53,183,86,85,65,82,"4,276",299,294,280,297,280,280,274,281,338,281,280,281,231,280,300,"4,186",0,"1,322",998,980,886,9,2,3,4,0,78,"21,325"
16-Jan-12,"3,277","3,082","3,153","1,878","1,443",79,81,81,76,82,85,76,89,92,79,51,53,186,91,87,68,87,"4,270",299,293,280,297,279,280,274,279,338,281,280,280,230,280,300,"4,184",0,"1,321",998,980,885,10,3,3,4,0,7,"21,304"
17-Jan-12,"3,274","3,084","3,150","1,923","1,434",78,79,81,76,82,85,76,88,92,79,50,52,186,89,87,68,86,"4,264",299,293,280,295,279,279,274,278,338,280,280,280,230,279,300,"4,182",0,"1,321",998,978,885,10,3,3,4,0,5,"21,326"
18-Jan-12,"3,258","3,084","3,147","1,946","1,420",78,79,80,75,82,84,76,87,89,78,49,52,183,89,86,67,86,"4,259",299,293,280,294,279,279,274,275,337,280,280,280,230,279,300,"4,179",0,"1,321",998,976,884,10,3,3,4,0,3,"21,306"
