date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,630","3,233","2,214","2,329","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,082"
1-Jun-05,"4,518","3,011","2,200","1,798","1,717",90,96,96,92,102,101,89,100,102,86,87,86,211,96,94,90,99,"2,744",249,250,250,250,247,250,249,250,249,250,250,"4,820",952,866,993,128,900,981,10,6,3,1,5,4,"20,827"
2-Jun-05,"4,530","3,019","2,002","1,787","1,712",90,94,95,90,101,101,88,100,99,86,89,86,211,100,91,90,101,"2,741",248,249,249,250,250,249,249,250,247,250,250,"4,810",953,870,993,128,888,978,12,6,5,1,5,5,"20,623"
3-Jun-05,"4,531","3,039","2,200","1,732","1,622",86,96,93,89,94,95,80,92,94,78,83,74,206,93,86,88,95,"2,733",248,248,248,248,250,247,249,250,248,250,247,"4,823",961,869,994,128,893,978,12,6,5,1,5,91,"20,788"
4-Jun-05,"4,524","3,039","2,199","1,732","1,616",86,95,92,88,94,95,80,92,94,78,82,74,206,93,86,88,93,"2,730",247,248,248,248,249,247,249,250,248,250,246,"4,823",961,869,994,128,893,978,12,6,5,1,5,90,"20,770"
5-Jun-05,"4,521","3,040","2,201","1,732","1,617",86,95,92,88,94,95,80,92,94,78,82,75,206,93,86,88,93,"2,729",247,248,248,248,249,247,249,249,248,250,246,"4,823",961,869,994,128,893,978,12,6,5,1,5,88,"20,768"
6-Jun-05,"4,521","3,048","2,208","1,772","1,692",92,97,93,90,100,100,86,100,97,85,87,84,205,97,91,90,98,"2,734",246,249,248,250,248,249,249,249,250,250,246,"4,821",959,869,993,128,895,977,12,6,5,1,5,6,"20,819"
7-Jun-05,"4,537","3,045","2,197","1,796","1,692",92,97,92,90,101,100,85,100,96,84,88,83,207,98,91,90,98,"2,746",250,250,248,250,248,250,249,250,250,250,251,"4,832",959,869,993,128,899,984,15,6,5,4,5,4,"20,869"
8-Jun-05,"4,545","3,074","2,190","1,781","1,690",92,97,91,92,101,100,83,101,95,83,87,83,210,97,90,89,99,"2,745",250,250,248,250,250,249,249,250,249,250,250,"4,832",961,872,992,128,896,983,15,6,5,4,5,10,"20,887"
9-Jun-05,"4,552","3,123","2,183","1,770","1,689",91,92,92,90,101,100,82,101,101,84,87,83,210,99,92,85,99,"2,744",250,250,249,249,249,249,249,250,249,250,250,"4,834",960,871,994,124,901,984,15,6,5,4,5,9,"20,924"
10-Jun-05,"4,562","3,136","2,183","1,751","1,618",83,85,90,91,98,95,76,97,98,80,84,75,201,95,92,82,96,"2,743",249,250,248,250,247,250,249,250,250,250,250,"4,829",960,870,994,124,900,981,14,6,4,4,5,80,"20,921"
11-Jun-05,"4,561","3,136","2,181","1,751","1,615",82,85,90,91,98,95,76,96,98,80,84,75,201,95,92,82,95,"2,743",249,250,248,250,247,250,249,250,250,250,250,"4,828",960,870,993,124,900,981,14,6,4,4,5,80,"20,914"
12-Jun-05,"4,559","3,136","2,181","1,751","1,615",82,85,90,91,98,95,76,96,98,80,84,75,201,95,92,82,95,"2,743",249,250,248,250,247,250,249,250,250,250,250,"4,828",960,870,993,124,900,981,14,6,4,4,5,79,"20,911"
13-Jun-05,"4,558","3,133","2,202","1,720","1,688",91,94,91,90,99,99,82,100,102,89,85,80,210,99,93,85,99,"2,743",250,249,248,250,250,247,249,250,250,250,250,"4,842",960,870,993,124,908,987,15,6,5,4,5,10,"20,916"
