Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,486","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,795"
10-Dec-09,"3,926","3,256","2,894","1,538","1,773",88,93,95,101,100,95,96,101,101,92,86,92,254,97,94,89,99,"2,819",260,251,249,249,246,251,317,249,249,249,249,"5,292",897,"1,322",915,"1,212",946,9,6,2,1,6,9,"21,522"
11-Dec-09,"3,925","3,263","2,904","1,519","1,780",88,100,93,101,100,95,96,101,102,92,73,92,254,102,98,92,101,"2,823",263,251,250,249,246,250,318,248,250,249,249,"5,294",899,"1,324",914,"1,212",945,9,6,2,1,6,12,"21,535"
12-Dec-09,"3,923","3,261","2,905","1,519","1,778",88,100,93,101,100,95,96,101,101,92,72,92,254,102,98,92,101,"2,820",261,251,250,249,246,249,318,248,250,249,249,"5,291",898,"1,323",914,"1,212",944,9,6,2,1,6,12,"21,524"
13-Dec-09,"3,921","3,258","2,904","1,519","1,777",88,100,93,101,100,95,96,101,101,92,72,92,254,102,98,92,100,"2,813",260,251,249,247,246,249,318,246,250,249,248,"5,287",898,"1,322",914,"1,211",942,9,6,2,1,6,13,"21,507"
14-Dec-09,"3,918","3,247","2,912","1,505","1,789",87,100,91,100,99,94,101,100,102,92,78,90,250,102,101,102,100,"2,812",257,251,249,250,245,247,316,249,249,249,250,"5,288",897,"1,318",912,"1,213",948,10,6,3,1,6,11,"21,498"
15-Dec-09,"3,919","3,268","2,912","1,500","1,792",87,100,91,100,99,94,101,100,100,92,85,90,251,102,98,102,100,"2,809",257,251,248,249,245,247,316,249,248,250,249,"5,290",896,"1,318",915,"1,214",947,10,6,3,1,6,9,"21,515"
16-Dec-09,"3,932","3,273","2,908","1,496","1,789",89,101,91,102,99,94,99,97,99,91,85,93,250,101,97,100,101,"2,815",262,250,249,249,244,250,315,250,248,251,247,"5,296",898,"1,322",915,"1,214",947,10,6,3,1,6,11,"21,536"
17-Dec-09,"3,931","3,286","2,903","1,468","1,797",89,101,96,102,101,98,98,96,100,91,87,93,249,102,97,97,100,"2,820",263,250,248,250,245,249,316,251,247,251,250,"5,296",900,"1,322",915,"1,212",947,10,6,3,1,6,12,"21,529"
18-Dec-09,"3,940","3,247","2,895","1,479","1,794",89,102,95,101,101,98,99,96,100,90,86,93,249,102,96,97,100,"2,826",263,250,248,250,245,250,319,251,247,251,252,"5,298",902,"1,322",915,"1,208",951,10,6,3,1,6,15,"21,510"
