Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,760","3,233","2,214","2,203","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",18,6,6,6,6,,"22,088"
1-Nov-04,"4,697","3,121","2,166","1,933","1,732",92,98,93,102,97,100,102,100,100,92,57,83,220,100,102,93,101,"2,729",248,249,242,249,246,248,249,249,250,249,250,"4,734",960,863,994,86,838,993,13,6,4,3,5,4,"21,134"
2-Nov-04,"4,693","3,126","2,162","1,950","1,730",91,97,93,101,97,100,100,101,101,92,57,82,222,99,102,93,102,"2,738",250,248,249,249,245,249,249,250,250,250,249,"4,734",960,862,994,86,837,995,13,6,4,3,5,4,"21,155"
3-Nov-04,"4,671","3,116","2,171","1,946","1,722",91,92,93,101,99,101,99,100,101,90,56,82,221,100,101,93,102,"2,743",249,249,250,250,250,248,249,250,250,249,249,"4,746",960,874,996,86,835,995,14,6,4,4,5,4,"21,138"
4-Nov-04,"4,686","3,127","2,169","1,947","1,717",92,93,92,101,96,101,98,100,100,90,56,82,223,99,100,92,102,"2,742",248,248,250,250,249,248,249,250,250,250,250,"4,732",959,874,993,86,827,993,14,6,4,4,5,4,"21,143"
5-Nov-04,"4,674","3,119","2,165","1,953","1,681",87,87,94,101,99,99,95,99,98,86,53,79,221,99,96,86,102,"2,743",250,248,249,250,247,249,250,250,250,250,250,"4,729",956,873,994,86,827,993,13,5,4,4,5,44,"21,126"
6-Nov-04,"4,673","3,117","2,164","1,953","1,679",87,87,94,101,99,99,95,99,98,86,53,79,220,99,95,86,102,"2,741",250,247,249,250,246,249,250,250,250,250,250,"4,726",956,873,991,86,827,993,13,5,4,4,5,43,"21,114"
7-Nov-04,"4,671","3,116","2,163","1,953","1,674",87,86,94,101,99,99,95,98,98,86,53,79,218,99,94,86,102,"2,740",250,247,249,250,246,248,250,250,250,250,250,"4,726",957,873,991,86,826,993,13,5,4,4,5,42,"21,103"
8-Nov-04,"4,653","3,110","2,151","1,937","1,709",90,96,93,101,99,102,97,99,101,89,55,80,223,100,96,88,100,"2,740",249,250,248,250,245,248,250,250,250,250,250,"4,768",957,872,991,127,828,993,14,6,4,4,5,4,"21,091"
9-Nov-04,"4,647","3,107","2,184","1,920","1,697",90,96,95,101,98,98,97,98,100,87,56,78,222,100,94,87,100,"2,741",248,250,250,249,250,249,250,250,246,249,250,"4,768",959,872,989,127,828,993,14,6,4,4,5,2,"21,085"
10-Nov-04,"4,645","3,100","2,174","1,904","1,675",85,97,96,98,97,97,96,94,96,90,55,76,222,100,93,84,99,"2,741",249,249,250,248,250,248,249,250,248,250,250,"4,753",956,872,992,127,818,988,14,6,4,4,5,2,"21,013"
11-Nov-04,"4,644","3,097","2,171","1,903","1,668",85,97,94,97,97,96,96,92,96,90,55,76,221,100,93,84,99,"2,741",249,249,250,248,250,248,249,250,248,250,250,"4,750",956,871,991,127,817,988,14,6,4,4,5,3,"20,996"
12-Nov-04,"4,653","3,061","2,171","1,899","1,609",79,90,92,92,90,91,95,88,96,82,56,76,219,94,92,81,96,"2,741",247,250,249,250,250,248,249,250,248,250,250,"4,754",955,874,992,127,816,990,12,6,2,4,5,80,"20,985"
13-Nov-04,"4,649","3,059","2,170","1,899","1,606",78,89,92,92,90,92,95,88,96,82,56,76,217,94,92,81,96,"2,740",247,250,249,250,250,248,249,250,248,249,250,"4,750",954,874,991,127,816,988,12,6,2,4,5,79,"20,969"
