Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
19-Aug-13,"3,391","3,301",33,"3,227","2,245","1,448",91,66,71,70,88,79,59,72,78,77,93,92,234,102,65,52,59,"4,425",298,369,277,299,279,280,273,280,354,279,279,280,300,279,299,"4,393",0,"1,196",998,"1,300",899,14,5,5,4,0,0,"22,477"
20-Aug-13,"3,395","3,316",33,"3,230","2,242","1,438",92,66,69,68,89,79,58,72,77,77,93,81,239,102,65,52,59,"4,427",297,368,279,299,279,280,274,280,354,279,279,280,300,280,299,"4,395",0,"1,195",998,"1,304",898,14,5,5,4,0,0,"22,490"
21-Aug-13,"3,387","3,306",33,"3,236","2,240","1,449",92,66,69,68,89,79,58,72,80,78,93,91,230,102,71,52,59,"4,424",297,367,279,300,280,280,274,280,353,279,280,280,297,278,300,"4,398",0,"1,194",997,"1,308",899,14,5,5,4,0,0,"22,487"
22-Aug-13,"3,391","3,309",35,"3,229","2,226","1,448",91,66,69,69,90,81,58,72,80,78,93,90,231,100,70,52,58,"4,426",297,368,278,300,279,280,274,280,355,279,280,279,298,279,300,"4,398",0,"1,195",999,"1,307",897,14,5,5,4,0,0,"22,476"
23-Aug-13,"3,387","3,309",35,"3,230","2,230","1,427",90,65,67,66,91,80,57,70,79,75,93,84,231,99,68,53,59,"4,421",294,369,278,300,277,278,276,280,355,278,280,280,298,278,300,"4,397",0,"1,195",998,"1,309",895,14,5,5,4,0,0,"22,450"
24-Aug-13,"3,386","3,305",35,"3,231","2,225","1,433",90,65,67,66,91,80,56,70,79,75,93,84,238,99,68,53,59,"4,419",294,369,278,299,277,277,276,280,355,278,280,280,298,278,300,"4,392",0,"1,194",998,"1,305",895,14,5,5,4,0,0,"22,440"
25-Aug-13,"3,383","3,298",35,"3,230","2,231","1,426",90,65,67,66,91,80,56,70,79,75,93,84,231,99,68,53,59,"4,418",293,369,278,299,277,277,276,280,355,278,280,280,298,278,300,"4,390",0,"1,192",998,"1,305",895,14,5,5,4,0,0,"22,425"
26-Aug-13,"3,383","3,297",35,"3,229","2,235","1,441",90,66,67,68,90,80,57,72,79,77,93,89,233,100,67,54,59,"4,417",293,369,279,300,279,280,275,279,354,277,278,279,296,280,299,"4,393",0,"1,194",998,"1,306",895,13,4,5,4,0,0,"22,443"
27-Aug-13,"3,386","3,336",35,"3,227","2,243","1,428",88,66,66,67,90,80,55,73,79,76,91,89,232,99,64,54,59,"4,414",293,369,278,300,280,280,272,279,355,277,278,279,294,280,300,"4,388",0,"1,192",997,"1,304",895,13,4,5,4,0,0,"22,470"
