date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,882",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,223"
1-Apr-17,3385,"3,429",31,12,"3,064","1,346","1,034",0,0,73,73,72,0,0,80,17,81,75,84,73,164,6,22,76,16,60,62,0,"3,814",240,294,264,287,223,222,271,279,347,199,227,267,234,223,237,"3,053",0,"1,163",999,0,891,15,6,6,3,"19,183"
2-Apr-17,3385,"3,430",31,12,"3,062","1,346","1,032",0,0,73,73,72,0,0,80,17,81,75,84,73,164,6,22,74,16,60,62,0,"3,814",240,294,264,287,223,222,271,279,347,199,227,267,234,223,237,"3,053",0,"1,163",999,0,891,15,6,6,3,"19,180"
3-Apr-17,3369,"3,468",30,12,"3,058","1,332","1,039",0,0,73,73,72,0,0,80,17,82,75,85,73,171,6,22,74,16,60,60,0,"3,800",239,294,263,285,223,221,274,277,345,195,227,267,232,223,235,"3,050",0,"1,163",999,0,888,15,6,6,3,"19,173"
4-Apr-17,3377,"3,483",30,11,"3,056","1,333","1,031",0,0,85,79,85,0,0,80,17,69,58,85,73,164,6,22,70,19,59,60,0,"3,792",238,294,262,285,223,221,274,272,341,195,227,267,239,219,235,"3,049",0,"1,163",998,0,888,15,6,6,3,"19,177"
5-Apr-17,3379,"3,443",30,11,"3,063","1,328","1,021",0,0,85,78,84,0,0,80,17,68,57,85,75,164,5,20,65,19,59,60,0,"3,823",240,294,264,285,223,223,274,278,352,200,227,266,238,224,235,"3,048",0,"1,160","1,000",0,888,15,6,6,3,"19,161"
6-Apr-17,3393,"3,412",30,11,"3,052","1,383","1,027",0,0,90,80,83,0,0,78,17,67,56,89,76,163,5,20,65,19,59,60,0,"3,814",240,294,263,285,223,223,274,278,348,200,227,266,237,218,238,"3,046",0,"1,158","1,000",0,888,15,6,6,3,"19,183"
7-Apr-17,3383,"3,386",30,17,"3,066","1,377","1,028",0,0,89,82,83,0,0,78,16,62,55,88,76,161,5,20,77,19,58,59,0,"3,811",239,292,262,288,221,221,273,275,351,200,226,266,236,224,237,"3,055",0,"1,166",999,0,890,15,6,6,3,"19,168"
8-Apr-17,3380,"3,385",30,17,"3,064","1,377","1,028",0,0,89,82,83,0,0,78,16,62,55,88,76,161,5,20,77,19,58,59,0,"3,809",239,292,262,288,221,221,273,275,351,200,225,266,235,224,237,"3,055",0,"1,166",999,0,890,15,6,6,3,"19,160"
9-Apr-17,3377,"3,385",30,17,"3,064","1,377","1,025",0,0,89,82,83,0,0,77,16,62,55,88,76,161,5,19,76,19,58,59,0,"3,809",239,292,262,288,221,221,273,275,351,200,225,266,235,224,237,"3,054",0,"1,166",999,0,889,15,6,6,3,"19,153"
10-Apr-17,3380,"3,392",30,19,"3,062","1,367","1,022",0,0,90,82,80,0,0,77,15,62,55,88,76,162,5,18,75,19,58,60,0,"3,811",239,290,261,286,220,221,272,278,354,200,225,266,234,223,242,"3,053",0,"1,167",998,0,888,15,6,6,3,"19,151"
