Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,668","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,468"
1-Feb-12,"3,240","3,075","3,140","2,122","1,343",91,56,84,74,88,85,70,74,81,72,48,44,175,84,71,66,80,"4,271",297,294,280,296,279,280,273,280,340,280,279,280,233,280,300,"4,167",0,"1,316",999,969,883,13,6,3,4,0,6,"21,377"
2-Feb-12,"3,240","3,106","3,139","2,135","1,350",91,65,84,74,85,81,70,74,81,72,48,44,174,88,74,65,80,"4,269",296,293,280,296,278,280,274,280,340,279,280,280,233,280,300,"4,155",0,"1,318",999,955,883,13,6,3,4,0,7,"21,414"
3-Feb-12,"3,242","3,092","3,151","2,120","1,346",91,66,81,80,83,79,69,71,83,73,48,49,167,90,73,66,77,"4,262",298,293,279,299,278,280,270,279,338,279,280,280,233,278,298,"4,157",0,"1,321","1,000",953,883,11,5,3,3,0,42,"21,423"
4-Feb-12,"3,242","3,094","3,151","2,120","1,343",91,66,81,80,82,79,69,70,83,73,48,49,167,90,72,66,77,"4,257",298,293,279,297,276,279,270,279,338,279,280,280,233,278,298,"4,157",0,"1,321","1,000",953,883,11,5,3,3,0,41,"21,416"
5-Feb-12,"3,242","3,093","3,151","2,120","1,344",91,66,81,80,83,79,69,70,83,73,48,49,167,90,72,66,77,"4,257",298,293,279,297,276,279,270,279,338,279,280,280,233,278,298,"4,154",0,"1,319","1,000",952,883,11,5,3,3,0,41,"21,413"
6-Feb-12,"3,231","3,098","3,152","2,143","1,373",91,66,83,81,85,82,71,75,83,75,47,49,172,89,74,68,82,"4,267",297,293,280,297,277,280,272,278,339,280,280,280,232,280,302,"4,158",0,"1,320","1,000",955,883,11,5,3,3,0,5,"21,438"
7-Feb-12,"3,230","3,099","3,157","2,188","1,362",91,66,82,80,84,82,68,76,83,75,44,49,172,89,73,66,82,"4,266",297,293,279,297,280,280,274,277,339,280,279,280,231,278,302,"4,162",0,"1,321","1,000",960,881,11,5,3,3,0,3,"21,478"
8-Feb-12,"3,225","3,108","3,156","2,183","1,364",90,66,82,82,87,85,67,77,76,75,44,49,172,89,73,66,84,"4,266",296,293,279,297,279,280,273,281,339,280,280,278,231,278,302,"4,162",0,"1,320","1,000",961,881,11,5,3,3,0,6,"21,481"
9-Feb-12,"3,217","3,059","3,157","2,218","1,349",90,64,79,81,84,84,65,77,85,72,45,49,173,85,70,64,82,"4,271",301,293,279,300,278,280,274,281,339,281,280,278,229,276,302,"4,165",0,"1,320","1,000",962,883,11,5,3,3,0,6,"21,453"
