date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
19-Aug-15,"3,094",85,"2,512",25,122,"2,503",96,"1,083","1,191",87,60,56,45,51,59,0,80,60,75,76,71,185,88,74,54,70,"4,199",300,350,274,300,271,268,259,260,345,262,271,277,214,261,287,"3,852",0,"1,118",999,926,809,12,4,5,3,"18,774"
20-Aug-15,"3,094",85,"2,512",25,122,"2,503",96,"1,083","1,179",87,60,56,44,50,58,0,79,59,74,75,70,185,87,73,53,69,"4,191",299,349,273,299,270,267,258,259,345,262,271,277,214,261,287,"3,852",0,"1,118",999,926,809,12,4,5,3,"18,754"
21-Aug-15,"3,094",85,"2,512",25,122,"2,503",96,"1,083","1,179",87,60,56,44,50,58,0,79,59,74,75,70,185,87,73,53,69,"4,187",299,349,273,299,270,267,258,259,344,261,270,276,214,261,287,"3,852",0,"1,118",999,926,809,12,4,5,3,"18,750"
22-Aug-15,"3,094",85,"2,512",25,122,"2,503",96,"1,083","1,179",87,60,56,44,50,58,0,79,59,74,75,70,185,87,73,53,69,"4,186",299,349,273,299,270,267,258,259,344,261,270,276,214,261,286,"3,846",0,"1,117",998,924,807,8,3,4,1,"18,739"
23-Aug-15,"3,094",85,"2,512",25,122,"2,503",96,"1,083","1,179",87,60,56,44,50,58,0,79,59,74,75,70,185,87,73,53,69,"4,184",299,349,273,299,270,267,258,259,344,261,270,276,214,260,285,"3,845",0,"1,116",998,924,807,8,3,4,1,"18,736"
24-Aug-15,"3,077",87,"2,491",28,134,"2,512",94,"1,063","1,186",92,66,54,50,52,57,0,75,59,76,80,66,178,86,73,52,70,"4,173",298,343,262,299,269,279,257,258,335,263,267,280,213,263,287,"3,960",0,"1,188",999,934,839,11,4,4,3,"18,816"
25-Aug-15,"3,077",87,"2,491",28,134,"2,512",94,"1,065","1,186",92,66,54,50,52,57,0,75,59,76,80,66,178,86,73,52,70,"4,173",298,343,262,299,269,279,257,258,335,263,267,280,213,263,287,"3,960",0,"1,188",999,934,839,11,4,4,3,"18,818"
26-Aug-15,"3,101",83,"2,454",28,128,"2,528",97,"1,072","1,189",92,67,53,49,50,53,0,74,59,75,81,66,182,90,73,53,72,"4,192",301,348,263,298,267,280,266,261,335,267,264,280,209,267,286,"3,880",0,"1,123",997,926,834,11,4,4,3,"18,763"
27-Aug-15,"3,102",84,"2,455",29,129,"2,528",97,"1,072","1,189",92,67,53,49,50,53,0,74,59,75,81,66,182,90,73,53,72,"4,192",301,348,263,298,267,280,266,261,335,267,264,280,209,267,286,"3,880",0,"1,123",997,926,834,11,4,4,3,"18,768"
